RECIPE_FILE_PATH,EXECUTION_DATE_TIME,EXECUTION_DURATION,EXCEPTIONS_SUMMARY
"src/main/resources/xmltobq/DWH/m_DWH_D_CUENTAS_VISTA_CVCM_INSERT/_ETL_m_DWH_D_CUENTAS_VISTA_CVCM_INSERT.json","2026/03/19 21:02:39.784","198","SUCCESS"
"src/main/resources/xmltobq/DWH/m_DWH_D_CUENTAS_VISTA_CVCM_UPDATE/_ETL_m_DWH_D_CUENTAS_VISTA_CVCM_UPDATE.json","2026/03/19 14:53:50.840","179","SUCCESS"
"src/main/resources/xmltobq/ETL/m_DWH_E_D_CONTRATO_SG_INV/_ETL_m_DWH_E_D_CONTRATO_SG_INV.json","2026/03/17 17:21:26.070","171","SUCCESS"
"src/main/resources/xmltobq/DWH/m_DWH_D_CONDICION_ECONOMICA_PM_INSERT/_ETL_m_DWH_D_CONDICION_ECONOMICA_PM_INSERT.json","2026/03/17 21:19:59.763","167","SUCCESS"
"src/main/resources/xmltobq/DWH/m_LOAD_LKP_CONTRATOS_DBLINE_UPDATE/_ETL_m_LOAD_LKP_CONTRATOS_DBLINE_UPDATE.json","2026/03/19 16:10:53.464","162","SUCCESS"
"src/main/resources/xmltobq/DWH/m_DWH_D_CARTERA_DPM_UPDATE/_ETL_m_DWH_D_CARTERA_DPM_UPDATE.json","2026/03/17 20:52:36.306","157","SUCCESS"
"src/main/resources/xmltobq/DWH/m_DWH_D_ACT_OUTPUT_CLIENTE_UPDATE/_ETL_m_DWH_D_ACT_OUTPUT_CLIENTE_UPDATE.json","2026/03/17 19:57:42.097","132","SUCCESS"
"src/main/resources/xmltobq/ETL/m_DWH_E_MOD_ORDENES_CLIENTE_FI_O/_ETL_m_DWH_E_MOD_ORDENES_CLIENTE_FI_O.json","2026/03/19 14:47:29.720","125","SUCCESS"
"src/main/resources/xmltobq/DWH/m_DWH_D_CONTRATOS_TARJETA_INSERT/_ETL_m_DWH_D_CONTRATOS_TARJETA_INSERT.json","2026/03/17 21:37:42.500","119","SUCCESS"
"src/main/resources/xmltobq/ETL/m_DWH_E_MOD_ORDENES_CLIENTE_VA/_ETL_m_DWH_E_MOD_ORDENES_CLIENTE_VA.json","2026/03/19 12:00:54.417","116","SUCCESS"
"src/main/resources/xmltobq/DWH/m_DWH_L_CLIENTE_CRS_UPDATE/_ETL_m_DWH_L_CLIENTE_CRS_UPDATE.json","2026/03/19 14:03:37.112","110","SUCCESS"
"src/main/resources/xmltobq/ETL/m_DWH_E_D_DEPOSITOS_CVCM/_ETL_m_DWH_E_D_DEPOSITOS_CVCM.json","2026/03/17 17:28:52.610","107","SUCCESS"
"src/main/resources/xmltobq/CDM/m_DM_STG_LKP_CLIENTE_ODIGO_EMPLEADO/_ETL_m_DM_STG_LKP_CLIENTE_ODIGO_EMPLEADO.json","2026/03/19 20:26:59.428","105","SUCCESS"
"src/main/resources/xmltobq/DWH/m_DWH_LKP_TARIF_COND_ESTD_UPDATE/_ETL_m_DWH_LKP_TARIF_COND_ESTD_UPDATE.json","2026/03/19 12:34:46.586","101","SUCCESS"
"src/main/resources/xmltobq/CDM/m_DM_MOD_TRANSF_EXTRANJ_ISO20022/_ETL_m_DM_MOD_TRANSF_EXTRANJ_ISO20022.json","2026/03/19 20:11:37.397","99","SUCCESS"
"src/main/resources/xmltobq/DWH/m_DWH_D_CONTRATO_SG_INV_UPDATE/_ETL_m_DWH_D_CONTRATO_SG_INV_UPDATE.json","2026/03/17 21:44:56.797","99","SUCCESS"
"src/main/resources/xmltobq/DWH/m_DWH_D_INTERVINIENTES_BQ_INSERT/_ETL_m_DWH_D_INTERVINIENTES_BQ_INSERT.json","2026/03/19 16:15:15.002","97","SUCCESS"
"src/main/resources/xmltobq/CDM/m_DM_LKP_IND_GAAP/_ETL_m_DM_LKP_IND_GAAP.json","2026/03/19 16:15:09.035","93","SUCCESS"
"src/main/resources/xmltobq/ETL/m_DWH_E_D_CONTRATO_SG_PPE/_ETL_m_DWH_E_D_CONTRATO_SG_PPE.json","2026/03/17 17:24:18.720","93","SUCCESS"
"src/main/resources/xmltobq/DWH/m_DWH_E_L_PD_CLIENTES/_ETL_m_DWH_E_L_PD_CLIENTES.json","2026/03/19 16:05:41.141","88","SUCCESS"
"src/main/resources/xmltobq/DWH/m_DWH_LKP_MET_INFORMACION_NTRK_UPDATE/_ETL_m_DWH_LKP_MET_INFORMACION_NTRK_UPDATE.json","2026/03/19 22:43:03.984","87","SUCCESS"
"src/main/resources/xmltobq/DWH/m_DWH_LKP_CLIENTE_CORRESP_INSERT/_ETL_m_DWH_LKP_CLIENTE_CORRESP_INSERT.json","2026/03/19 19:34:01.854","85","SUCCESS"
"src/main/resources/xmltobq/DWH/m_DWH_L_TI_CODIGOS_IMPORTE_UPDATE_GCP/_ETL_m_DWH_L_TI_CODIGOS_IMPORTE_UPDATE_GCP.json","2026/03/19 20:04:48.716","84","SUCCESS"
"src/main/resources/xmltobq/DWH/m_DWH_LKP_COND_PART_TRAMO_INSERT/_ETL_m_DWH_LKP_COND_PART_TRAMO_INSERT.json","2026/03/19 19:37:09.807","83","SUCCESS"
"src/main/resources/xmltobq/DWH/m_DWH_D_CONTRATO_AGENTE_UPDATE/_ETL_m_DWH_D_CONTRATO_AGENTE_UPDATE.json","2026/03/17 21:40:40.892","82","SUCCESS"
"src/main/resources/xmltobq/DWH/m_DWH_L_TG_PAIS_RIESGO_INSERT/_ETL_m_DWH_L_TG_PAIS_RIESGO_INSERT.json","2026/03/19 20:17:32.989","81","SUCCESS"
"src/main/resources/xmltobq/DWH/m_DWH_F_SFMC_ACCION_UPDATE/_ETL_m_DWH_F_SFMC_ACCION_UPDATE.json","2026/03/19 17:39:51.333","81","SUCCESS"
"src/main/resources/xmltobq/DWH/m_DWH_D_UBR_CRES_GRUPO_OFICINAS_INSERT/_ETL_m_DWH_D_UBR_CRES_GRUPO_OFICINAS_INSERT.json","2026/03/19 17:34:43.156","80","SUCCESS"
"src/main/resources/xmltobq/ETL/m_DWH_E_MOD_MENSAJE_OPERADOR_FI/_ETL_m_DWH_E_MOD_MENSAJE_OPERADOR_FI.json","2026/03/19 15:05:01.366","80","SUCCESS"
"src/main/resources/xmltobq/ETL/m_DWH_E_D_CONTRATOS_SMARAG/_ETL_m_DWH_E_D_CONTRATOS_SMARAG.json","2026/03/17 17:18:02.646","80","SUCCESS"
"src/main/resources/xmltobq/ETL/m_DWH_E_F_REGULATORIOS_TEMPORALES1_GCP/_ETL_m_DWH_E_F_REGULATORIOS_TEMPORALES1_GCP.json","2026/03/19 12:08:28.267","79","SUCCESS"
"src/main/resources/xmltobq/ODS/SFE_ACTIVA_CLIENTE_25500_2/m_ODS_ACT_TASK/_ETL_m_ODS_ACT_TASK.json","2026/03/19 02:44:02.452","79","SUCCESS"
"src/main/resources/xmltobq/DWH/m_DWH_L_TI_ESTADO_N_UPDATE/_ETL_m_DWH_L_TI_ESTADO_N_UPDATE.json","2026/03/19 20:02:16.861","78","SUCCESS"
"src/main/resources/xmltobq/ETL/m_DWH_E_D_LIMITES_CREDITOS_CVCM/_ETL_m_DWH_E_D_LIMITES_CREDITOS_CVCM.json","2026/03/17 17:43:08.062","77","SUCCESS"
"src/main/resources/xmltobq/CDM/m_DM_MOD_TARJETAS/_ETL_m_DM_MOD_TARJETAS.json","2026/03/19 20:08:05.928","76","org.apache.spark.sql.catalyst.ExtendedAnalysisException(1): A column or function parameter with name <...> cannot be resolved"
"src/main/resources/xmltobq/DWH/m_DWH_D_UBR_SEGMENTO_INSERT/_ETL_m_DWH_D_UBR_SEGMENTO_INSERT.json","2026/03/19 19:16:00.619","76","SUCCESS"
"src/main/resources/xmltobq/DWH/m_DWH_D_TG_1217_IDENT_NACIONAL_UPDATE/_ETL_m_DWH_D_TG_1217_IDENT_NACIONAL_UPDATE.json","2026/03/19 14:42:45.079","76","SUCCESS"
"src/main/resources/xmltobq/ETL/m_DWH_E_F_REGULATORIOS_MIS_DIARIO/_ETL_m_DWH_E_F_REGULATORIOS_MIS_DIARIO.json","2026/03/19 12:03:41.585","76","SUCCESS"
"src/main/resources/xmltobq/DWH/m_DWH_L_TG_MOT_EXENCION_COMISION_UPDATE/_ETL_m_DWH_L_TG_MOT_EXENCION_COMISION_UPDATE.json","2026/03/19 20:21:19.306","75","SUCCESS"
"src/main/resources/xmltobq/DWH/m_DWH_L_TI_CALIFICACION_GEST_UPDATE/_ETL_m_DWH_L_TI_CALIFICACION_GEST_UPDATE.json","2026/03/19 20:06:16.582","75","SUCCESS"
"src/main/resources/xmltobq/DWH/m_DWH_L_TG_TIPO_BLOQUEO_UPDATE/_ETL_m_DWH_L_TG_TIPO_BLOQUEO_UPDATE.json","2026/03/19 20:11:21.224","74","SUCCESS"
"src/main/resources/xmltobq/DWH/m_DWH_L_TG_TIPO_GARANTIA_UPDATE_GCP/_ETL_m_DWH_L_TG_TIPO_GARANTIA_UPDATE_GCP.json","2026/03/19 20:10:03.104","74","SUCCESS"
"src/main/resources/xmltobq/DWH/m_DWH_L_TG_TIPO_VINC_DB_INSERT/_ETL_m_DWH_L_TG_TIPO_VINC_DB_INSERT.json","2026/03/19 20:08:44.504","74","SUCCESS"
"src/main/resources/xmltobq/CDM/m_DM_LKP_REL_CLIENTE/_ETL_m_DM_LKP_REL_CLIENTE.json","2026/03/19 17:39:56.863","72","SUCCESS"
