cluster_name,recipe_filename,job_id,app_start_iso,avg_job_duration_in_mins_sec,status,message
cluster-wf-load-info-7e158412-0345,_ETL_m_DM_LKP_RERATING_CLIENTE.json,etl-m-dm-lkp-rerating-cliente-20260330-0920,2026-03-30T07:20:43.931999Z,12m 51sec,SUCCESS,
comparator-wf-dwh-load-t-05-00,_ETL_m_RDM_D_CONTRATOS_SMARAG_PAR.json,ETL_m_RDM_D_CONTRATOS_SMARAG_PAR_comparator-20260329-1832,2026-03-29T16:33:04.884999Z,12m 44sec,,
cluster-wf-dwh-load-t-08-15-0815,_ETL_m_DWH_LKP_RESTRICCION_ACT_INSERT.json,etl-m-dwh-lkp-restriccion-act-insert-20260330-0948,2026-03-30T07:48:14.528Z,12m 21sec,,
comparator-wf-dwh-load-t-05-00,_ETL_m_DWH_MOD_EVENTOS_FDD.json,ETL_m_DWH_MOD_EVENTOS_FDD_comparator-20260329-1747,2026-03-29T15:47:22.742Z,12m 6sec,,
comparator-b-wf-dwh-load-t-05-50,_ETL_m_DWH_F_OPERACION_FICHERO_EB_INSERT.json,ETL_m_DWH_F_OPERACION_FICHERO_EB_INSERT_comparator-20260330-1444,2026-03-30T12:45:06.092999Z,11m 55sec,,
cluster-wf-dmr-load-e338500b-0100,_ETL_m_DWH_D_CONTRATOS_TARJETA_UPDATE.json,etl-m-dwh-d-contratos-tarjeta-update-20260330-0211,2026-03-30T00:12:19.303999Z,11m 36sec,SUCCESS,
cluster-wf-dmr-load-t-02-45-0245,_ETL_m_ODS_CVCM_TPA05.json,etl-m-ods-cvcm-tpa05-20260330-0355,2026-03-30T01:55:58.875Z,11m 6sec,SUCCESS,
comparator-wf-dwh-load-t-06-50,_ETL_m_DWH_MOD_MENSAJES_CCA.json,ETL_m_DWH_MOD_MENSAJES_CCA_comparator-20260330-1357,2026-03-30T11:57:51.286999Z,10m 36sec,,
comparator-a-wf-dwh-load-t-05-50,_ETL_m_DWH_E_F_OPERACION_FICHERO_EB.json,ETL_m_DWH_E_F_OPERACION_FICHERO_EB_comparator-20260329-1537,2026-03-29T13:38:05.338999Z,10m 31sec,,
comparator-a-wf-dwh-load-t-05-50,_ETL_m_ODS_TEB_04_OPERACIONES.json,ETL_m_ODS_TEB_04_OPERACIONES_comparator-20260329-1443,2026-03-29T12:43:24.657Z,9m 52sec,,
cluster-wf-dmr-load-e338500b-0100,_ETL_m_DM_LKP_EXTRACTO_CONTRATO_TJ.json,etl-m-dm-lkp-extracto-contrato-tj-20260330-0309,2026-03-30T01:09:29.059Z,9m 42sec,SUCCESS,
cluster-wf-dwh-load-t-08-15-0815,_ETL_m_DWH_LKP_RESTRICCION_ACT_UPDATE.json,etl-m-dwh-lkp-restriccion-act-update-20260330-0927,2026-03-30T07:28:00.608Z,9m 41sec,SUCCESS,
cluster-wf-load-info-986acbb7-0100,_ETL_m_ODS_TPW14_CLASIF_MIFID.json,etl-m-ods-tpw14-clasif-mifid-20260330-0213,2026-03-30T00:14:12.852999Z,9m 26sec,SUCCESS,
cluster-wf-dmr-load-t-02-45-0245,_ETL_m_ODS_TTL15.json,etl-m-ods-ttl15-20260330-0356,2026-03-30T01:56:23.967Z,9m 13sec,SUCCESS,
cluster-wf-dwh-load-t-05-50-0550,_ETL_m_DWH_D_LOTE_EB_INSERT.json,etl-m-dwh-d-lote-eb-insert-20260330-1112,2026-03-30T09:13:13.374Z,9m 8sec,SUCCESS,
cluster-wf-load-info-986acbb7-0100,_ETL_m_ODS_TPW_69_RISK_PILLARS_CRRE.json,etl-m-ods-tpw-69-risk-pillars-crre-20260330-0213,2026-03-30T00:13:30.812999Z,8m 59sec,SUCCESS,
cluster-wf-dmr-load-t-21-50-2150,_ETL_m_ODS_F_PD_RATINGS.json,etl-m-ods-f-pd-ratings-20260329-2258,2026-03-29T20:59:10.346999Z,8m 53sec,SUCCESS,
