cluster_name,worker_machine_type,worker_family,num_workers,max_workers_from_policy,total_cores,max_total_cores,strategy,bias_mode,topology_preset,diagnostic_signals
cluster-wf_spark_179,n2-highcpu-32,n2,4,4,128,128,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_166,n2-highcpu-32,n2,3,4,96,128,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_262,e2-highcpu-32,e2,4,4,128,128,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_249,n2-highcpu-32,n2,2,4,64,128,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_213,e2-highcpu-32,e2,5,6,160,192,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_284,n2-highcpu-32,n2,4,4,128,128,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_227,n2-highcpu-32,n2,3,4,96,128,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_23,e2-highcpu-32,e2,6,6,192,192,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_66,e2-highcpu-32,e2,14,14,448,448,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_289,n2-highcpu-32,n2,5,6,160,192,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_116,n2-highcpu-32,n2,3,4,96,128,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_234,n2-highcpu-32,n2,5,6,160,192,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_12,n2-highcpu-96,n2,20,20,1920,1920,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_1,e2-highcpu-32,e2,2,4,64,128,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_49,e2-highcpu-32,e2,12,12,384,384,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_368,e2-highcpu-32,e2,4,4,128,128,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_336,e2-highcpu-32,e2,3,4,96,128,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_273,e2-highcpu-32,e2,9,10,288,320,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_313,e2-highcpu-32,e2,2,4,64,128,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_190,e2-highcpu-16,e2,2,4,32,64,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_185,e2-highcpu-32,e2,5,6,160,192,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_353,e2-highcpu-32,e2,2,4,64,128,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_251,e2-highcpu-32,e2,7,8,224,256,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_245,e2-highcpu-32,e2,10,10,320,320,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_55,e2-highcpu-32,e2,5,6,160,192,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_127,n2-highcpu-32,n2,4,4,128,128,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_256,e2-highcpu-32,e2,10,10,320,320,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_267,n2-highcpu-32,n2,3,4,96,128,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_240,n2-highcpu-4,n2,2,4,8,16,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_112,e2-highcpu-32,e2,16,16,512,512,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_145,e2-highcpu-32,e2,9,10,288,320,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_327,n2-highcpu-32,n2,7,8,224,256,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_71,n2-highcpu-32,n2,6,6,192,192,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_9,n2-highcpu-80,n2,16,16,1280,1280,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_13,e2-highcpu-32,e2,3,4,96,128,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_82,n2d-highcpu-224,n2d,5,6,1120,1344,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_22,e2-highcpu-32,e2,2,4,64,128,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_16,n2-highcpu-96,n2,24,24,2304,2304,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_309,e2-highcpu-32,e2,2,4,64,128,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_96,e2-highcpu-32,e2,31,31,992,992,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_357,e2-highcpu-32,e2,2,4,64,128,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_316,e2-highcpu-32,e2,5,6,160,192,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_239,e2-highcpu-32,e2,6,6,192,192,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_123,e2-highcpu-32,e2,4,4,128,128,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_134,e2-highcpu-32,e2,5,6,160,192,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_204,e2-highcpu-16,e2,2,4,32,64,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_11,e2-highcpu-4,e2,2,4,8,16,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_199,e2-highcpu-32,e2,4,4,128,128,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_156,e2-highcpu-32,e2,5,6,160,192,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_101,n2d-highcpu-224,n2d,9,10,2016,2240,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_33,e2-highcpu-32,e2,70,70,2240,2240,cost_biased,cost_biased,8cx1GBpc,""
