cluster_name,dag_id,no_of_jobs,num_of_workers,worker_machine_type,master_machine_type,total_active_minutes,estimated_cost_eur,TIMER_NAME,TIMER_TIME
cluster-wf-dmr-load-425ff947-0425,wf_DMR_LOAD_T_01_30__T_03_15__T_04_25,42,9,n2d-highcpu-224,n2d-highcpu-224,110.42,226.7324,T_04_25_HO,05:25
cluster-wf-dmr-load-t-03-00-0300,wf_DMR_LOAD_T_03_00,54,18,n2-highcpu-96,n2-highcpu-96,108.33,197.5994,T_03_00_MA,04:00
cluster-wf-dwh-load-940807f2-0435,wf_DWH_LOAD_NMIS_T_04_35__T_04_30,22,5,n2d-highcpu-224,n2d-highcpu-224,103.75,127.8179,T_4_35,05:35
stg-to-ods-electronic-banking-4840,UNKNOWN_DAG_ID,29,10,e2-highcpu-32,e2-highcpu-32,94.33,23.2431,ZERO_TIMER,00:00
comparator-electronic-banking-4845,UNKNOWN_DAG_ID,29,7,e2-highcpu-32,e2-highcpu-32,94.14,16.8701,ZERO_TIMER,00:00
comparator-sg-insurances-and-pens9,UNKNOWN_DAG_ID,32,8,e2-highcpu-32,e2-highcpu-32,92.72,18.6918,ZERO_TIMER,00:00
stg-to-ods-sg-insurances-and-pensd,UNKNOWN_DAG_ID,32,10,e2-highcpu-32,e2-highcpu-32,90.89,22.3949,ZERO_TIMER,00:00
cluster-wf-dwh-load-t-05-00-0500,wf_DWH_LOAD_T_05_00,46,10,n2-highcpu-96,n2-highcpu-96,89.21,94.2010,T_5_00_FDD,06:00
cluster-wf-load-info-ac79fee8-0400,wf_LOAD_Infocentro_T_04_00,47,4,n2d-highcpu-224,n2d-highcpu-224,86.21,88.5140,T_04_00_MJ,05:00
comparator-sfe-activa-cliente-2555,UNKNOWN_DAG_ID,75,5,e2-highcpu-32,e2-highcpu-32,84.05,11.2962,ZERO_TIMER,00:00
cluster-wf-dwh-load-t-22-30-2230,wf_DWH_LOAD_T_22_30,57,22,e2-highcpu-32,e2-highcpu-32,81.80,42.1456,Timer_22_30,23:30
cluster-wf-dwh-load-t-22-45-2245,wf_DWH_LOAD_T_22_45,48,9,n2-highcpu-96,n2-highcpu-96,79.36,76.1888,Timer_22_45,23:45
comparator-partner-data-4433-1-a,UNKNOWN_DAG_ID,22,9,e2-highcpu-32,e2-highcpu-32,78.36,17.5525,ZERO_TIMER,00:00
stg-to-ods-partner-data-4433-1-j,UNKNOWN_DAG_ID,29,9,e2-highcpu-32,e2-highcpu-32,76.22,17.0722,ZERO_TIMER,00:00
cluster-wf-load-info-f713283d-0615,wf_LOAD_Infocentro_T_06_15,14,16,e2-highcpu-32,e2-highcpu-32,75.32,28.6819,T_06_15_SE,07:15
cluster-wf-load-info-986acbb7-0400,wf_LOAD_Infocentro_T_01_00__T_04_00,42,5,n2d-highcpu-128,n2d-highcpu-128,74.64,52.5496,T_04_00_AG,05:00
comparator-payments-544-2-c,UNKNOWN_DAG_ID,54,7,e2-highcpu-32,e2-highcpu-32,74.40,13.3333,ZERO_TIMER,00:00
comparator-collateral-system-25509,UNKNOWN_DAG_ID,25,11,e2-highcpu-32,e2-highcpu-32,73.27,19.6951,ZERO_TIMER,00:00
stg-to-ods-partner-data-4433-1-a,UNKNOWN_DAG_ID,22,10,e2-highcpu-32,e2-highcpu-32,72.09,17.7636,ZERO_TIMER,00:00
stg-to-ods-mis-590-2-b,UNKNOWN_DAG_ID,58,7,n2d-highcpu-32,n2d-highcpu-32,72.02,16.8996,ZERO_TIMER,00:00
cluster-wf-dwh-load-t-01-15-0115,wf_DWH_LOAD_T_01_15,29,7,n2d-highcpu-224,n2d-highcpu-224,70.48,115.7738,Timer_01_15,02:15
stg-to-ods-card-processing-644-1-b,UNKNOWN_DAG_ID,42,10,e2-highcpu-32,e2-highcpu-32,70.33,17.3289,ZERO_TIMER,00:00
cluster-wf-dwh-load-t-08-15-0815,wf_DWH_LOAD_T_08_15,31,20,e2-highcpu-32,e2-highcpu-32,69.02,32.4658,T_08_15_WM,09:15
comparator-partner-data-4433-1-l,UNKNOWN_DAG_ID,21,7,e2-highcpu-32,e2-highcpu-32,65.65,11.7640,ZERO_TIMER,00:00
loans-and-leasing-527-1,UNKNOWN_DAG_ID,36,2,n2d-highcpu-4,n2d-highcpu-4,64.56,0.7101,ZERO_TIMER,00:00
cluster-wf-load-info-25f3c2ad-0000,wf_LOAD_Infocentro_T_00_00,30,31,e2-highcpu-32,e2-highcpu-32,64.28,46.0725,T_00_00_Host_Alerts,01:00
stg-to-ods-partner-data-4433-1-l,UNKNOWN_DAG_ID,21,10,e2-highcpu-32,e2-highcpu-32,63.64,15.6814,ZERO_TIMER,00:00
comparator-investment-funds-411-2,UNKNOWN_DAG_ID,17,9,e2-highcpu-32,e2-highcpu-32,63.25,14.1671,ZERO_TIMER,00:00
comparator-notification-hub-50369c,UNKNOWN_DAG_ID,6,5,e2-highcpu-32,e2-highcpu-32,62.23,8.3640,ZERO_TIMER,00:00
cluster-wf-dwh-load-t-02-40-0240,wf_DWH_LOAD_T_02_40,37,13,e2-highcpu-32,e2-highcpu-32,59.94,18.7958,T_02_40_NTRK,03:40
comparator-exposure-risk-29832-1-b,UNKNOWN_DAG_ID,13,7,e2-highcpu-32,e2-highcpu-32,57.73,10.3448,ZERO_TIMER,00:00
comparator-risk-data-base-es-29944,UNKNOWN_DAG_ID,14,9,e2-highcpu-32,e2-highcpu-32,55.72,12.4803,ZERO_TIMER,00:00
cluster-wf-dwh-load-t-21-01-2101,wf_DWH_LOAD_T_21_01,45,17,e2-highcpu-32,e2-highcpu-32,55.37,22.3255,T_21_01,22:01
stg-to-ods-securities-valors-409e,UNKNOWN_DAG_ID,19,10,e2-highcpu-32,e2-highcpu-32,55.12,13.5808,ZERO_TIMER,00:00
stg-to-ods-investment-funds-411-2,UNKNOWN_DAG_ID,17,10,e2-highcpu-32,e2-highcpu-32,53.23,13.1163,ZERO_TIMER,00:00
comparator-mis-590-2-b,UNKNOWN_DAG_ID,58,5,n2-highcpu-32,n2-highcpu-32,52.74,10.1262,ZERO_TIMER,00:00
comparator-securities-valors-4090,UNKNOWN_DAG_ID,19,7,e2-highcpu-32,e2-highcpu-32,52.28,9.3688,ZERO_TIMER,00:00
cluster-wf-dwh-load-t-01-00-0100,wf_DWH_LOAD_T_01_00,36,7,n2-highcpu-32,n2-highcpu-32,51.99,13.3097,T_01_00_GDPR,02:00
comparator-card-processing-644-1-b,UNKNOWN_DAG_ID,42,7,e2-highcpu-32,e2-highcpu-32,51.87,9.2958,ZERO_TIMER,00:00
cluster-wf-load-info-0b0b02e5-0645,wf_LOAD_Infocentro_T_06_45,28,4,n2d-highcpu-224,n2d-highcpu-224,51.02,52.3767,T_06_45_ER,07:45
stg-to-ods-mis-590-2-e,UNKNOWN_DAG_ID,28,7,e2-highcpu-32,e2-highcpu-32,49.81,8.9257,ZERO_TIMER,00:00
stg-to-ods-current-accounts-385-2c,UNKNOWN_DAG_ID,25,4,n2-highcpu-80,n2-highcpu-80,49.10,19.6409,ZERO_TIMER,00:00
cluster-wf-dmr-load-t-22-25-2225,wf_DMR_LOAD_T_22_25,26,12,n2-highcpu-96,n2-highcpu-96,48.14,60.0805,T_22_25_EEMM,23:25
comparator-expert-assistant-feed9,UNKNOWN_DAG_ID,18,9,e2-highcpu-32,e2-highcpu-32,48.14,10.7832,ZERO_TIMER,00:00
cluster-wf-load-info-6b956e1c-0330,wf_LOAD_Infocentro_T_03_30,32,11,e2-highcpu-32,e2-highcpu-32,47.99,12.8998,T_03_30_GB_Cartera,04:30
stg-to-ods-exposure-risk-29832-1-b,UNKNOWN_DAG_ID,13,9,e2-highcpu-32,e2-highcpu-32,46.13,10.3321,ZERO_TIMER,00:00
