cluster_name,max_concurrent_jobs
stg-to-ods-mis-590-2-e,3
comparator-general-tables-5898-1-a,3
stg-to-ods-collateral-system-2550f,3
stg-to-ods-notification-hub-503696,3
comparator-notification-hub-50369c,3
comparator-cirbe-22112-1-d,3
comparator-mis-590-2-a,3
comparator-card-processing-644-1-b,3
comparator-guarantees-confirming7,3
comparator-guarantees-confirming6,3
stg-to-ods-partner-data-4433-1-l,3
comparator-mis-590-2-n,3
comparator-adp-global-view-36267-1,3
comparator-general-ledger-5900-2-b,3
stg-to-ods-partner-data-4433-1-j,3
comparator-sfd-digital-signaturee,3
comparator-customer-engagement-169,3
comparator-odigo-contact-center-78,3
stg-to-ods-general-ledger-5900-2-a,3
comparator-partner-data-4433-1-d,3
comparator-payments-544-2-b,3
stg-to-ods-tesoreria-22115-1-b,3
stg-to-ods-mis-590-2-n,3
comparator-sfe-activa-cliente-2559,3
stg-to-ods-guarantees-confirming9,3
comparator-partner-data-4433-1-b,3
comparator-sg-insurances-and-pens9,3
comparator-partner-data-4433-1-k,3
comparator-securities-valors-4090,3
stg-to-ods-mis-590-2-d,3
comparator-mis-590-2-b,3
comparator-payments-544-2-c,3
comparator-electronic-banking-4845,3
stg-to-ods-mis-590-2-a,3
stg-to-ods-partner-data-4433-1-d,3
stg-to-ods-sfd-digital-signature2,3
stg-to-ods-compliance-money-launde,3
comparator-card-processing-644-1-c,3
comparator-cirbe-22112-1-b,3
stg-to-ods-general-tables-5898-1-c,3
comparator-card-processing-644-1-a,3
stg-to-ods-card-processing-644-1-a,3
comparator-mis-590-2-j,3
comparator-bpm-74674-1,3
cluster-wf-dmr-load-t-02-00-0200,3
stg-to-ods-mis-590-2-m,3
stg-to-ods-mis-590-2-h,3
comparator-expert-assistant-feed9,3
stg-to-ods-bpm-74674-1,3
comparator-reporting-ho-es-230947,3
stg-to-ods-nextportfolio-28892-1,3
comparator-mis-590-2-c,2
stg-to-ods-dwh-control-b,2
comparator-db-sas-46485-3-c,2
comparator-safe-deposit-boxes-3518,2
comparator-cirbe-22112-1-c,2
stg-to-ods-partner-data-4433-1-g,2
stg-to-ods-integrated-mailing-664a,2
comparator-four-eyes-es-4552-1,2
stg-to-ods-partner-data-4433-1-f,2
stg-to-ods-payments-544-2-d,2
stg-to-ods-mis-590-2-j,2
cluster-wf-dwh-load-t-21-06-2106,2
comparator-sg-insurances-and-pens3,2
cluster-wf-load-info-96fe38cb-0200,2
comparator-dwh-control-b,2
comparator-sfe-activa-cliente-2550,2
comparator-tesoreria-22115-1-a,2
stg-to-ods-telephonic-banking-2309,2
stg-to-ods-insolvencies-system-63d,2
cluster-wf-dmr-load-t-08-20-0820,2
