cluster_name,recipe_filename,p95_job_duration_ms,avg_job_duration_ms,runs
cluster-wf_spark_64,_SPARK_JOB_recipe_filename_148.json,3021441,915414.1666666667,6
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4430.json,3004627,794214.8333333334,6
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4436.json,3002675,754477.1428571428,7
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4477.json,2990418,707673.4285714285,7
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4457.json,2982731,764287,7
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4439.json,2975433,650675.5714285714,7
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4316.json,2973029,780474.4285714285,7
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4383.json,2970230,708281.6666666666,6
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4473.json,2968968,769414.5714285714,7
cluster-wf_spark_64,_SPARK_JOB_recipe_filename_157.json,2928658,761145.2857142857,7
cluster-wf_spark_64,_SPARK_JOB_recipe_filename_162.json,2892970,942528.4999999999,6
cluster-wf_spark_64,_SPARK_JOB_recipe_filename_140.json,2881776,880153.5,6
cluster-wf_spark_64,_SPARK_JOB_recipe_filename_163.json,2881231,761232.1428571428,7
cluster-wf_spark_64,_SPARK_JOB_recipe_filename_165.json,2880130,710169.1428571428,7
cluster-wf_spark_64,_SPARK_JOB_recipe_filename_176.json,2878601,737504.5714285715,7
cluster-wf_spark_64,_SPARK_JOB_recipe_filename_158.json,2877621,844073,7
cluster-wf_spark_64,_SPARK_JOB_recipe_filename_3929.json,2871284,719548.857142857,7
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4357.json,2819070,771563,6
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4446.json,2813177,695711.142857143,7
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4284.json,2806640,765269.5,6
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4314.json,2804850,809981,6
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4381.json,2801169,690567.5714285714,7
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4464.json,2795088,727634.3333333334,6
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4288.json,2794732,670835.8571428572,7
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4428.json,2793315,745515.1666666666,6
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4424.json,2792473,766347.6666666666,6
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4375.json,2788574,747568.8333333334,6
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4398.json,2786914,778140.5,6
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4431.json,2785897,639764.142857143,7
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4434.json,2785452,736447.3333333333,6
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4083.json,2770763,707664.4285714286,7
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4347.json,2768104,609268.8571428572,7
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4482.json,2767965,619246.5714285714,7
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4411.json,2767473,546383,7
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4077.json,2766702,758855.1666666666,6
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4028.json,2760652,769378.5,6
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4073.json,2753007,819954.8571428572,7
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4082.json,2752231,707461.1428571428,7
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4044.json,2751171,803909,6
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4046.json,2745916,1018572.7142857143,7
cluster-wf_spark_339,_SPARK_JOB_recipe_filename_5626.json,2711783,459392,7
cluster-wf_spark_102,_SPARK_JOB_recipe_filename_2409.json,2692476,1701329.857142857,7
cluster-wf_spark_312,_SPARK_JOB_recipe_filename_5084.json,2671989,1576857.857142857,7
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4039.json,2670098,640880.6666666666,6
cluster-wf_spark_102,_SPARK_JOB_recipe_filename_5839.json,2649781,1759336.142857143,7
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_1101.json,2611261,721281.1666666667,6
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_2034.json,2588489,837023.1666666666,6
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4043.json,2577497,640966.2857142857,7
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4050.json,2568449,693458.2857142858,7
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4027.json,2567015,823550.2857142857,7
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3992.json,2562793,869439.7142857143,7
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4015.json,2559450,742871.1428571428,7
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3957.json,2558383,726104.6666666666,6
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4004.json,2556970,880685.7142857143,7
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_2759.json,2553672,1012995.6666666667,6
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_2309.json,2547989,767635.8333333333,6
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4017.json,2546466,748187.5714285714,7
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3999.json,2544743,829117.857142857,7
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3930.json,2531948,708906.1666666667,6
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_2752.json,2497043,712969.1428571428,7
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3973.json,2496509,738089.1666666666,6
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_2035.json,2494614,650747.2857142857,7
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3856.json,2494096,1004517.1666666667,6
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3857.json,2494017,975132.4285714285,7
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_2202.json,2493261,718448.6666666666,6
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_2234.json,2493122,969518.8571428572,7
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3956.json,2492088,651839.857142857,7
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3878.json,2475911,635510.142857143,7
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4023.json,2474896,955187.9999999999,7
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3877.json,2474465,655693.4285714285,7
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_496.json,2438314,719357.5,6
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_1060.json,2434944,659966.5,6
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_1009.json,2434363,679746.8333333334,6
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_777.json,2431182,712471.5,6
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_381.json,2423299,694299.6666666666,6
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_1006.json,2418259,705662.6666666666,6
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4096.json,2412755,592871,7
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3976.json,2402086,1091210.6666666665,6
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3983.json,2389664,722758.6666666667,6
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4002.json,2387914,888928.8571428572,7
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3987.json,2384225,929982.4285714285,7
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3975.json,2374491,568309.2857142858,7
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4098.json,2365942,666480.2857142858,7
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3974.json,2360246,920651.1428571428,7
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4052.json,2341136,961626.8,5
cluster-wf_spark_34,_SPARK_JOB_recipe_filename_1331.json,2333901,675005.4285714285,7
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3980.json,2327994,868336.8333333333,6
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4012.json,2314364,736231.8333333334,6
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_2769.json,2312693,935049.5714285715,7
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4065.json,2288250,595357.1428571428,7
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4094.json,2285862,675039.4285714285,7
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3719.json,2260822,584369.1428571428,7
cluster-wf_spark_34,_SPARK_JOB_recipe_filename_580.json,2239356,913211.5,6
cluster-wf_spark_34,_SPARK_JOB_recipe_filename_1242.json,2238966,556684.2857142858,7
cluster-wf_spark_34,_SPARK_JOB_recipe_filename_1335.json,2215405,603356.5714285714,7
cluster-wf_spark_34,_SPARK_JOB_recipe_filename_578.json,2212794,833568.2857142859,7
