cluster_name,total_runtime_ms,total_runtime_minutes,total_runtime_hours
comparator-payments-544-2-e,8067335,134.46,2.24
comparator-financial-agents-4550-2,8056785,134.28,2.24
comparator-financial-assets-402-1a,7824459,130.41,2.17
comparator-mis-590-2-h,7723834,128.73,2.15
comparator-mis-590-2-m,7543434,125.72,2.1
comparator-fiscal-reporting-23080d,7562606,126.04,2.1
stg-to-ods-wealth-manager-49067-1,7381375,123.02,2.05
comparator-payments-544-2-d,7193907,119.9,2
comparator-customer-engagement-165,7084178,118.07,1.97
stg-to-ods-collateral-system-2550f,7024926,117.08,1.95
stg-to-ods-warning-risk-47605-1-a,6831300,113.86,1.9
comparator-loans-and-leasing-527a,6816669,113.61,1.89
comparator-card-processing-644-1-c,6813270,113.55,1.89
stg-to-ods-host-architecture-22096,6763691,112.73,1.88
comparator-wealth-manager-49067-1,6658584,110.98,1.85
stg-to-ods-terms-and-fees-21701-13,6402230,106.7,1.78
stg-to-ods-db-mailroutinghub-es-18,6251894,104.2,1.74
comparator-card-processing-644-1-a,6235476,103.92,1.73
cluster-wf-dwh-load-4b53af6c-0400,6151142,102.52,1.71
stg-to-ods-payments-544-2-f,6009871,100.16,1.67
stg-to-ods-payments-544-2-d,6019455,100.32,1.67
cluster-wf-dwh-load-t-05-25-0525,5934327,98.91,1.65
stg-to-ods-contrack-35644-1,5870678,97.84,1.63
comparator-db-mailroutinghub-es-1d,5847663,97.46,1.62
stg-to-ods-fx-options-kaleidoscop7,5678325,94.64,1.58
cluster-wf-dmr-load-e338500b-2340,5533190,92.22,1.54
stg-to-ods-db-sas-46485-3-b,5509934,91.83,1.53
stg-to-ods-general-tables-5898-1-b,5472314,91.21,1.52
stg-to-ods-guarantees-confirming2,5473131,91.22,1.52
comparator-general-tables-5898-1-b,5382640,89.71,1.5
cluster-wf-dmr-load-t-08-25-0825,5351952,89.2,1.49
stg-to-ods-mis-590-2-h,5231186,87.19,1.45
comparator-payments-544-2-f,5188413,86.47,1.44
comparator-mis-590-2-f,5163680,86.06,1.43
comparator-cirbe-22112-1-b,5163493,86.06,1.43
comparator-db-sas-46485-3-e,5017457,83.62,1.39
comparator-integrated-mailing-6643,4996434,83.27,1.39
comparator-general-ledger-5900-2-b,4931013,82.18,1.37
cluster-wf-dwh-load-85f9116a-0430,4854568,80.91,1.35
comparator-contrack-35644-1,4775395,79.59,1.33
stg-to-ods-customer-engagement-16c,4706527,78.44,1.31
comparator-general-ledger-5900-2-a,4727086,78.78,1.31
stg-to-ods-tesoreria-22115-1-b,4723799,78.73,1.31
comparator-tesoreria-22115-1-b,4657269,77.62,1.29
comparator-questionnaire-tool-1124,4558168,75.97,1.27
comparator-host-architecture-22096,4411417,73.52,1.23
stg-to-ods-loans-and-leasing-527a,4236734,70.61,1.18
stg-to-ods-mis-590-2-c,4172113,69.54,1.16
stg-to-ods-notification-hub-503696,4172100,69.54,1.16
stg-to-ods-bpm-74674-1,4178938,69.65,1.16
comparator-fx-options-kaleidoscop3,4106158,68.44,1.14
stg-to-ods-partner-data-4433-1-k,4095928,68.27,1.14
comparator-db-sas-46485-3-b,4055303,67.59,1.13
stg-to-ods-general-ledger-5900-2-a,3981127,66.35,1.11
cluster-wf-dmr-load-03d556e9-2315,3985857,66.43,1.11
cluster-wf-dmr-load-t-00-20-0020,3921957,65.37,1.09
comparator-guarantees-confirming6,3925616,65.43,1.09
stg-to-ods-partner-data-4433-1-d,3935891,65.6,1.09
comparator-operation-flow-managem1,3891442,64.86,1.08
stg-to-ods-fiscal-reporting-230809,3859856,64.33,1.07
stg-to-ods-partner-data-4433-1-b,3837720,63.96,1.07
stg-to-ods-questionnaire-tool-1123,3812146,63.54,1.06
comparator-bpm-74674-1,3803987,63.4,1.06
stg-to-ods-cirbe-22112-1-b,3807823,63.46,1.06
stg-to-ods-payments-544-2-a,3769959,62.83,1.05
stg-to-ods-operation-flow-managem9,3743257,62.39,1.04
comparator-payments-544-2-b,3590304,59.84,1
comparator-mis-590-2-k,3555637,59.26,0.99
stg-to-ods-financial-assets-402-1c,3515522,58.59,0.98
comparator-partner-data-4433-1-b,3290526,54.84,0.91
stg-to-ods-db-sas-46485-3-d,3220404,53.67,0.89
comparator-mis-590-2-c,3219477,53.66,0.89
cluster-wf-load-info-6c8abf4b-0130,3178577,52.98,0.88
cluster-wf-dwh-load-t-05-30-0530,3168450,52.81,0.88
comparator-general-tables-5898-1-c,3141385,52.36,0.87
comparator-db-sas-46485-3-d,3079506,51.33,0.86
comparator-partner-data-4433-1-d,3076573,51.28,0.85
