cluster_name,recipe_filename,avg_job_duration_ms
cluster-wf-dmr-load-e338500b-0300,_ETL_m_DWH_D_TIPO_PROCESO_MIS_UPDATE.json,935049.5714285716
cluster-wf-dwh-load-t-03-00-0300,_ETL_m_DM_HIER_CTA.json,933067.2857142857
cluster-wf-dwh-load-t-06-00-0600,_ETL_m_DM_MOD_DIARIO_ELECTRONICO.json,930776.1666666667
cluster-wf-dmr-load-e338500b-0300,_ETL_m_DWH_L_TG_ENTIDADES_UPDATE.json,929982.4285714285
cluster-wf-dmr-load-t-03-45-0345,_ETL_m_RDM_D_CALIFICACION_GEST.json,926358.8333333334
comparator-electronic-banking-4845,_ETL_m_ODS_TEB_04_OPERACIONES.json,921786.4285714286
cluster-wf-dmr-load-e338500b-0300,_ETL_m_DWH_L_TG_CLAVE_GARANTIA.json,920651.1428571428
cluster-wf-load-info-1e0fd893-0800,_ETL_m_DM_LKP_PROTOCOLO_INTEGRANTE_PAR.json,915462.1428571428
cluster-wf-dwh-load-t-03-00-0300,_ETL_m_DM_HIER_CTA_3.json,915414.1666666666
cluster-wf-dmr-load-e338500b-0300,_ETL_m_DWH_L_CIR_FORMA_SOCIAL.json,915267
cluster-wf-dmr-load-t-06-15-0615,_ETL_m_DM_LKP_ELEMENTO.json,913211.5
cluster-wf-dmr-load-t-03-45-0345,_ETL_m_RDM_D_PLANPROD_CONT.json,908925.3333333334
cluster-wf-dmr-load-e338500b-0300,_ETL_m_DWH_L_TG_MUNICIPIOS.json,907685.3333333333
cluster-wf-cro-rc-load-main,_ETL_m_RDM_F_CONTRATO_RC_D.json,906745.6666666666
stg-to-ods-partner-data-4433-1-a,_ETL_m_ODS_FLAGS_GDPR.json,905655.2857142857
cluster-wf-dmr-load-e338500b-0300,_ETL_m_DWH_E_L_TG_MOD_TIPO_INTERES.json,900112.8
comparator-loans-and-leasing-5272,_ETL_m_ODS_F_PM_PROPUESTAS.json,899824.5
cluster-wf-dmr-load-e338500b-0100,_ETL_m_DWH_D_CONTRATOS_TARJETA_UPDATE.json,890882.6
cluster-wf-dmr-load-e338500b-0300,_ETL_m_DWH_L_TG_GRUPO_BIEN.json,888928.8571428572
cluster-wf-load-info-f713283d-0615,_ETL_m_DM_LKP_CONTRATOS_SE_PAR.json,885240.6666666667
cluster-wf-dmr-load-e338500b-0300,_ETL_m_DWH_L_TG_GRUPO_CRS_INSERT.json,880685.7142857143
cluster-wf-dwh-load-t-03-00-0300,_ETL_m_DM_HIER_CENTRO_MES_5.json,880153.5
cluster-wf-dmr-load-e338500b-0300,_ETL_m_DWH_E_L_TG_SEXO.json,877185.8333333334
cluster-wf-dmr-load-e338500b-0300,_ETL_m_DWH_TG_1384_ESG_GSS_APPROVALS_UPDATE.json,872558
cluster-wf-dmr-load-t-06-15-0615,_ETL_m_DM_LKP_CONTRATO_JCO.json,871912.5714285715
