cluster_name,recipe_filename,job_id,app_start_iso,avg_job_duration_in_mins_sec,status,message
cluster-wf-dwh-load-t-22-30-2230,_ETL_m_ODS_LKP_RIESGO_CLIENTE_ACT.json,etl-m-ods-lkp-riesgo-cliente-act-20260329-2343,2026-03-29T21:43:52.448999Z,17m 1sec,SUCCESS,
cluster-wf-load-info-986acbb7-0100,_ETL_m_DWH_LKP_CLIENTE_CORRESP_UPDATE.json,etl-m-dwh-lkp-cliente-corresp-update-20260328-0246,2026-03-28T01:46:53.917999Z,17m 1sec,,
cluster-wf-dwh-load-t-05-00-0500,_ETL_m_DWH_LKP_EVENTO_FDD_UPDATE.json,etl-m-dwh-lkp-evento-fdd-update-20260330-0632,2026-03-30T04:32:29.329999Z,16m 53sec,,
cluster-wf-load-info-986acbb7-0100,_ETL_m_ODS_PW19_CLASE_CLIENTE.json,etl-m-ods-pw19-clase-cliente-20260330-0213,2026-03-30T00:13:36.075999Z,16m 48sec,SUCCESS,
comparator-wf-dwh-load-t-03-30,_ETL_m_DWH_D_NOTIF_PUSH_DET_NHUB_INSERT.json,ETL_m_DWH_D_NOTIF_PUSH_DET_NHUB_INSERT_comparator-20260330-1339,2026-03-30T11:39:28.232Z,16m 39sec,,
cluster-wf-dmr-load-t-21-30-2130,_ETL_m_DWH_E_D_RECIBO_SG_RIESGO.json,etl-m-dwh-e-d-recibo-sg-riesgo-20260329-2244,2026-03-29T20:44:48.137Z,16m 21sec,,
cluster-wf-dwh-load-t-05-50-0550,_ETL_m_DWH_F_OPERACION_ONLINE_EB_INSERT.json,etl-m-dwh-f-operacion-online-eb-insert-20260330-1112,2026-03-30T09:13:01.736999Z,16m 5sec,FAILURE,Exception message: writeResultAndErrors failed: Failed to write to BigQuery
cluster-wf-dmr-load-e338500b-0100,_ETL_m_DM_LKP_AUTORIZACION_MOV_TJ_SIA.json,etl-m-dm-lkp-autorizacion-mov-tj-sia-20260330-0310,2026-03-30T01:10:40.444Z,15m 57sec,SUCCESS,
cluster-wf-dmr-load-t-06-15-0615,_ETL_m_DM_LKP_CONTRATO_JCO.json,etl-m-dm-lkp-contrato-jco-20260330-0742,2026-03-30T05:42:40.490999Z,15m 57sec,SUCCESS,
cluster-wf-load-info-7e158412-0345,_ETL_m_DWH_E_D_PROPUESTAS_PO.json,etl-m-dwh-e-d-propuestas-po-20260330-0450,2026-03-30T02:50:33.127Z,15m 31sec,,
cluster-wf-dwh-load-t-05-00-0500,_ETL_m_DWH_E_MOD_EVENTOS_FDD.json,etl-m-dwh-e-mod-eventos-fdd-20260330-0616,2026-03-30T04:16:43.842Z,15m 23sec,,
cluster-wf-dmr-load-t-04-35-0435,_ETL_m_DWH_E_MOD_ORDENES_CLIENTE_FP.json,etl-m-dwh-e-mod-ordenes-cliente-fp-20260330-0706,2026-03-30T05:06:20.503Z,15m 16sec,,
cluster-wf-dmr-load-t-04-35-0435,_ETL_m_DWH_LKP_COSTE_INSTR_FI_INSERT.json,etl-m-dwh-lkp-coste-instr-fi-insert-20260330-0902,2026-03-30T07:02:38.187Z,15m 16sec,SUCCESS,
cluster-wf-dmr-load-t-21-50-2150,_ETL_m_ODS_F_PD_KW845T.json,etl-m-ods-f-pd-kw845t-20260329-2258,2026-03-29T20:58:48.262Z,14m 42sec,SUCCESS,
cluster-wf-dmr-load-t-03-45-0345,_ETL_m_DWH_E_D_OPERACION_GB.json,etl-m-dwh-e-d-operacion-gb-20260330-0457,2026-03-30T02:57:41.913Z,14m 38sec,,
cluster-wf-dwh-load-t-06-00-0600,_ETL_m_LOAD_LKP_MOVIMIENTOS_DBLINE_UPDATE.json,etl-m-load-lkp-movimientos-dbline-update-20260330-0707,2026-03-30T05:07:46.706Z,14m 33sec,,
cluster-wf-dmr-load-e338500b-0300,_ETL_m_DWH_L_TG_TRAMO_VIA_UPDATE_GCP.json,etl-m-dwh-l-tg-tramo-via-update-gcp-20260330-0450,2026-03-30T02:50:31.933Z,14m 27sec,,
cluster-wf-dmr-load-e338500b-0100,_ETL_m_DWH_D_FACT_REMESA_COMERCIO_UPDATE.json,etl-m-dwh-d-fact-remesa-comercio-update-20260330-0211,2026-03-30T00:12:45.299999Z,14m 21sec,SUCCESS,
cluster-wf-dmr-load-t-03-45-0345,_ETL_m_DWH_E_D_OPERACION_OC.json,etl-m-dwh-e-d-operacion-oc-20260330-0514,2026-03-30T03:15:02.170Z,13m 47sec,,
cluster-wf-dmr-load-e338500b-0300,_ETL_m_DWH_L_CIR_CLASIFIC_GARAN_UPDATE_GCP.json,etl-m-dwh-l-cir-clasific-garan-update-gcp-20260330-0443,2026-03-30T02:43:57.834Z,13m 46sec,,
cluster-wf-load-info-c9c4d332-0530,_ETL_m_DWH_D_CUENTAS_VISTA_CVCM_UPDATE.json,etl-m-dwh-d-cuentas-vista-cvcm-update-20260330-0650,2026-03-30T04:50:36.960999Z,13m 39sec,SUCCESS,
cluster-wf-dmr-load-e338500b-2208,_ETL_m_DWH_MOD_COND_AVAL_GCP.json,etl-m-dwh-mod-cond-aval-gcp-20260329-2326,2026-03-29T21:26:40.941999Z,13m 34sec,,
