cluster_name,recipe_filename,p95_run_max_executors,avg_run_max_executors,runs
stg-to-ods-partner-data-4433-1-l,_ETL_m_ODS_PD_PW301T_DIR_TELEFONOS.json,9,5.8,6
stg-to-ods-sg-insurances-and-pensd,_ETL_m_ODS_TSG_G2_GESTORA_PPI.json,9,6.5,6
stg-to-ods-expert-assistant-feed4,_ETL_m_ODS_TUA_30_PROP_PARCIAL.json,9,6.5,6
stg-to-ods-current-accounts-385-20,_ETL_m_ODS_CVCM_KW860T_POSICION_EOD.json,9,6,6
stg-to-ods-financial-assets-402-11,_ETL_m_ODS_TAF_35_POSICION.json,9,8.5,6
stg-to-ods-sg-insurances-and-pensd,_ETL_m_ODS_TSGG4_SOLICITUDES_AUTOM.json,9,4.5,6
stg-to-ods-sg-insurances-and-pensd,_ETL_m_ODS_TSG_27.json,9,6.25,6
stg-to-ods-electronic-banking-4840,_ETL_m_ODS_TEB_58_LIMITE_CONJUNTO.json,9,5.8,6
stg-to-ods-sg-insurances-and-pensd,_ETL_m_ODS_TSG_G3_PLAN_FONDO_PPI.json,9,4.25,6
cluster-wf-load-info-986acbb7-0100,_ETL_m_DWH_LKP_MOD_GLOBAL_RIESGO_CRRE.json,9,7.166666666666667,6
comparator-sg-insurances-and-pens9,_ETL_m_ODS_TSG_Z5_HIST_POS_CONT.json,9,7.333333333333333,6
stg-to-ods-partner-data-4433-1-l,_ETL_m_ODS_CLIENTE_INFO_RESERVADA.json,9,7,6
stg-to-ods-investment-funds-411-2,_ETL_m_ODS_TFO_COMISIONES.json,9,5,6
stg-to-ods-sg-insurances-and-pensd,_ETL_m_ODS_TSG_01_CONTRATO_SG.json,9,7,6
stg-to-ods-partner-data-4433-1-l,_ETL_m_ODS_PD_56_CLIENTE_BLOQUEO.json,9,6,6
stg-to-ods-insolvencies-system-630,_ETL_m_ODS_TSE30.json,9,7.2,6
stg-to-ods-expert-assistant-feed4,_ETL_m_ODS_TUA_37_DET_INCENTIVOS.json,9,7,6
cluster-wf-dmr-load-e338500b-2208,_ETL_m_DWH_D_MOVIMIENTOS_AV_UPDATE.json,9,4,5
