cluster_name,recipe_filename,avg_executors_per_job,p95_run_max_executors,avg_job_duration_ms,p95_job_duration_ms,runs,seconds_at_cap,runs_reaching_cap,total_runs,fraction_reaching_cap,max_concurrent_jobs
cluster-wf-dmr-load-03d556e9-2315,_ETL_m_DWH_D_REPORT_INPUT_DELETE.json,0.21818181818181817,2,53717.71428571428,57865,7,,,,,4
cluster-wf-dmr-load-03d556e9-2315,_ETL_m_DWH_D_REPORT_INPUT_INSERT.json,0.21693121693121697,2,52924,57546,7,,,,,4
cluster-wf-dmr-load-03d556e9-2315,_ETL_m_DWH_D_REPORT_INPUT_UPDATE.json,0.3217719012487624,3,66168.42857142857,76464,7,,,,,4
cluster-wf-dmr-load-03d556e9-2315,_ETL_m_DWH_D_REPORT_INSERT.json,0.2142857142857143,2,51631.14285714286,56230,7,,,,,4
cluster-wf-dmr-load-03d556e9-2315,_ETL_m_DWH_D_REPORT_UPDATE.json,0,2,63512.7142857143,73690,7,,,,,4
cluster-wf-dmr-load-03d556e9-2315,_ETL_m_DWH_F_STATS_REPORT_INPUT.json,1.178026007464033,4,70313.42857142857,77364,7,,,,,4
cluster-wf-dmr-load-425ff947-0130,_ETL_m_DQ3_ODS_CRR_FLAG_AUDIT_LOG_BPM.json,0,,42151,49064,3,,,,,1
cluster-wf-dmr-load-425ff947-0425,_ETL_m_DQ3_ODS_COLLATERAL_ASSET_CIB_PCAM.json,0,,24110.333333333336,38730,6,,,,,18
cluster-wf-dmr-load-425ff947-0425,_ETL_m_DQ3_ODS_COLLATERAL_CIB_PCAM.json,0,,26381.333333333336,39048,6,,,,,18
cluster-wf-dmr-load-425ff947-0425,_ETL_m_DQ3_ODS_COUNTERPARTY_CIB_PCAM.json,0,2,34777.833333333336,38279,6,,,,,18
cluster-wf-dmr-load-425ff947-0425,_ETL_m_DQ3_ODS_CRR_FLAG_AUDIT_LOG.json,0.2570474723017096,2,56352.16666666667,80691,6,,,,,18
cluster-wf-dmr-load-425ff947-0425,_ETL_m_DQ3_ODS_DAILY_TRIGGER_MT.json,0.09859154929577464,2,58951.5,71671,6,,,,,18
cluster-wf-dmr-load-425ff947-0425,_ETL_m_DQ3_ODS_FACILITY_CIB_PCAM.json,0,2,32986.166666666664,39719,6,,,,,18
cluster-wf-dmr-load-425ff947-0425,_ETL_m_DQ3_ODS_RC_380S_DATOS_DE.json,0.13073005093378606,2,55707.5,65785,6,,,,,18
cluster-wf-dmr-load-425ff947-0425,_ETL_m_DQ3_ODS_RC_J02S_JCO_INCO_PRINCIP.json,0.24806102644757475,2,68975,79820,6,,,,,18
cluster-wf-dmr-load-425ff947-0425,_ETL_m_DQ3_ODS_RC_J02S_JCO_INCO_PRINCIP_D.json,0.20774244430886446,2,62406.333333333336,76767,6,,,,,18
cluster-wf-dmr-load-425ff947-0425,_ETL_m_DQ3_ODS_RC_TURNOVER_EMPRESAS.json,0.0843544759334233,2,52369,75087,6,,,,,18
cluster-wf-dmr-load-425ff947-0425,_ETL_m_DQ3_ODS_RC_WORKOUT_FLAG.json,0.07708665603402445,2,45320.66666666667,57262,6,,,,,18
cluster-wf-dmr-load-425ff947-0425,_ETL_m_DQ3_ODS_TQS13_ALARMAS.json,0.033025922233300094,2,138739.3333333333,329269,6,,,,,18
cluster-wf-dmr-load-425ff947-0425,_ETL_m_DQ3_ODS_TQS_02_LIPRO.json,0.05652711535064476,1,150566.6666666667,292544,6,,,,,18
cluster-wf-dmr-load-425ff947-0425,_ETL_m_DQ3_ODS_TQS_03_EVENTOS.json,0.11538461538461539,1,111635.16666666667,238561,6,,,,,18
cluster-wf-dmr-load-425ff947-0425,_ETL_m_DQ3_ODS_TQS_04_TILIPRO.json,0.017815377327767418,2,133076.66666666666,324859,6,,,,,18
cluster-wf-dmr-load-425ff947-0425,_ETL_m_DQ3_ODS_TQS_18_ALARMAS_ENV.json,0.1224510551741673,2,127034.33333333334,318353,6,,,,,18
cluster-wf-dmr-load-425ff947-0425,_ETL_m_DQ3_ODS_TQS_32_DOCUMENTOS.json,0.016492081306896122,1,152277.66666666666,320331,6,,,,,18
cluster-wf-dmr-load-425ff947-0425,_ETL_m_DQ3_ODS_TRANSACTION_CIB_PCAM.json,0,,24174.333333333332,37383,6,,,,,18
cluster-wf-dmr-load-425ff947-0425,_ETL_m_DWH_F_COLLATERALIZATION_CRES.json,0.2455095105697516,2,149857.85714285713,234151,7,,,,,18
cluster-wf-dmr-load-425ff947-0425,_ETL_m_DWH_F_COLLATERAL_ASSET_CRES.json,0.3028257160665416,4,159805.85714285716,241802,7,,,,,18
cluster-wf-dmr-load-425ff947-0425,_ETL_m_DWH_F_COLLATERAL_CRES.json,0.41066951274461155,3,169619.42857142858,243067,7,,,,,18
cluster-wf-dmr-load-425ff947-0425,_ETL_m_DWH_F_COLLATERAL_PROVIDER_CRES.json,0.22561539584428117,3,154928.57142857142,257480,7,,,,,18
cluster-wf-dmr-load-425ff947-0425,_ETL_m_DWH_F_COUNTERPARTY_CRES.json,0.10115127590855746,2,111032.28571428572,178655,7,,,,,18
cluster-wf-dmr-load-425ff947-0425,_ETL_m_DWH_F_CRR_FLAG_AUDIT_LOG.json,0.07266120815852799,2,149150.7142857143,230592,7,,,,,18
cluster-wf-dmr-load-425ff947-0425,_ETL_m_DWH_F_CRR_FLAG_AUDIT_LOG_BPM.json,0.15981081736599564,2,125860.85714285713,200118,7,,,,,18
cluster-wf-dmr-load-425ff947-0425,_ETL_m_DWH_F_DIAS_DE_MORA_PAR.json,0.3127053728433601,2,141083.14285714284,248763,7,,,,,18
cluster-wf-dmr-load-425ff947-0425,_ETL_m_DWH_F_FACILITY_CRES.json,0.7122957455549855,4,196380.57142857142,265322,7,,,,,18
cluster-wf-dmr-load-425ff947-0425,_ETL_m_DWH_F_FACILITY_LIMIT_CRES.json,0.5044992108078212,3,157000.7142857143,276754,7,,,,,18
cluster-wf-dmr-load-425ff947-0425,_ETL_m_DWH_F_MATERIALITY_TRESHOLD.json,0.869070495258545,4,226235.85714285713,317406,7,,,,,18
cluster-wf-dmr-load-425ff947-0425,_ETL_m_DWH_F_TRANSACTION_CRES.json,3.9924475408038913,12,545383.2857142858,663716,7,,,,,18
cluster-wf-dmr-load-425ff947-0425,_ETL_m_RDM_F_COLLATERALIZATION_CRES.json,0.06852387371299315,2,156471.8333333333,292138,6,,,,,18
cluster-wf-dmr-load-425ff947-0425,_ETL_m_RDM_F_COLLATERAL_ASSET_CRES.json,0.22681365377948923,4,223837.83333333334,339736,6,,,,,18
cluster-wf-dmr-load-425ff947-0425,_ETL_m_RDM_F_COLLATERAL_CRES.json,0.2725800123085523,4,260371.5,359158,6,,,,,18
cluster-wf-dmr-load-425ff947-0425,_ETL_m_RDM_F_COLLATERAL_PROVIDER_CRES.json,0,1,166441.5,302142,6,,,,,18
cluster-wf-dmr-load-425ff947-0425,_ETL_m_RDM_F_COUNTERPARTY_CRES.json,0.02306805074971165,1,166798.1666666667,289967,6,,,,,18
cluster-wf-dmr-load-425ff947-0425,_ETL_m_RDM_F_CRR_FLAG_AUDIT_LOG.json,0.009523809523809525,2,198135.83333333334,324401,6,,,,,18
cluster-wf-dmr-load-425ff947-0425,_ETL_m_RDM_F_CRR_FLAG_AUDIT_LOG_BPM.json,0.16749557913351018,2,183226.33333333334,322552,6,,,,,18
cluster-wf-dmr-load-425ff947-0425,_ETL_m_RDM_F_DIAS_DE_MORA_PAR.json,0.04657352874035521,1,162250.8,294156,5,,,,,18
cluster-wf-dmr-load-425ff947-0425,_ETL_m_RDM_F_FACILITY_CRES.json,0.6588630623323586,4,273615.8333333333,390643,6,,,,,18
cluster-wf-dmr-load-425ff947-0425,_ETL_m_RDM_F_FACILITY_LIMIT_CRES.json,0.48898148058549196,4,268399.1666666666,370011,6,,,,,18
cluster-wf-dmr-load-425ff947-0425,_ETL_m_RDM_F_MATERIALITY_THRESHOLD.json,1.104367409455982,8,289958.3333333333,415861,6,,,,,18
cluster-wf-dmr-load-425ff947-0425,_ETL_m_RDM_F_TRANSACTION_CRES.json,1.7114655871006206,4,713103.2,886129,5,,,,,18
cluster-wf-dmr-load-e338500b-0035,_ETL_m_DQ3_ODS_TSC_01_CONDIC_CTRTO.json,0,,47514,47514,1,,,,,4
cluster-wf-dmr-load-e338500b-0035,_ETL_m_DQ3_ODS_TSC_02_COND_PART_CLI.json,0,,32449,32449,1,,,,,4
cluster-wf-dmr-load-e338500b-0035,_ETL_m_DQ3_ODS_TSC_03_CONDIC_ESTAN.json,0,,46817,46817,1,,,,,4
