cluster_name,recipe_filename,peak_job_duration_ms
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4015.json,2559450
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3957.json,2558383
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4004.json,2556970
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_2759.json,2553672
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_2309.json,2547989
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4017.json,2546466
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3999.json,2544743
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3930.json,2531948
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_2752.json,2497043
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3973.json,2496509
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_2035.json,2494614
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3856.json,2494096
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3857.json,2494017
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_2202.json,2493261
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_2234.json,2493122
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3956.json,2492088
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3878.json,2475911
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4023.json,2474896
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3877.json,2474465
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_496.json,2438314
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_1060.json,2434944
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_1009.json,2434363
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_777.json,2431182
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_381.json,2423299
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_1006.json,2418259
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4096.json,2412755
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3976.json,2402086
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3983.json,2389664
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4002.json,2387914
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3987.json,2384225
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3975.json,2374491
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4098.json,2365942
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3974.json,2360246
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4052.json,2341136
cluster-wf_spark_34,_SPARK_JOB_recipe_filename_1331.json,2333901
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3980.json,2327994
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4012.json,2314364
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_2769.json,2312693
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4065.json,2288250
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4094.json,2285862
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3719.json,2260822
cluster-wf_spark_34,_SPARK_JOB_recipe_filename_580.json,2239356
cluster-wf_spark_34,_SPARK_JOB_recipe_filename_1242.json,2238966
