cluster_name,dag_id,no_of_jobs,num_of_workers,worker_machine_type,master_machine_type,total_active_minutes,estimated_cost_eur,TIMER_NAME,TIMER_TIME
stg-to-ods-fiscal-reporting-230809,UNKNOWN_DAG_ID,8,6,e2-highcpu-32,e2-highcpu-32,9.19,1.4410,ZERO_TIMER,00:00
stg-to-ods-general-ledger-5900-2-a,UNKNOWN_DAG_ID,11,6,n2d-highcpu-32,n2d-highcpu-32,11.06,2.2707,ZERO_TIMER,00:00
stg-to-ods-general-tables-5898-1-b,UNKNOWN_DAG_ID,15,6,n2-highcpu-32,n2-highcpu-32,15.20,3.4050,ZERO_TIMER,00:00
stg-to-ods-guarantees-confirming2,UNKNOWN_DAG_ID,10,6,n2-highcpu-32,n2-highcpu-32,13.03,2.9190,ZERO_TIMER,00:00
stg-to-ods-mis-590-2-n,UNKNOWN_DAG_ID,47,6,e2-highcpu-32,e2-highcpu-32,39.41,6.1801,ZERO_TIMER,00:00
stg-to-ods-nextportfolio-28892-1,UNKNOWN_DAG_ID,18,6,n2d-highcpu-32,n2d-highcpu-32,24.30,4.9888,ZERO_TIMER,00:00
stg-to-ods-notification-hub-503696,UNKNOWN_DAG_ID,6,6,n2d-highcpu-32,n2d-highcpu-32,9.93,2.0397,ZERO_TIMER,00:00
stg-to-ods-operation-flow-managem9,UNKNOWN_DAG_ID,7,6,e2-highcpu-32,e2-highcpu-32,10.40,1.6304,ZERO_TIMER,00:00
stg-to-ods-partner-data-4433-1-k,UNKNOWN_DAG_ID,8,6,e2-highcpu-32,e2-highcpu-32,11.38,1.7840,ZERO_TIMER,00:00
stg-to-ods-payments-544-2-a,UNKNOWN_DAG_ID,7,6,e2-highcpu-32,e2-highcpu-32,8.98,1.4075,ZERO_TIMER,00:00
stg-to-ods-questionnaire-tool-1123,UNKNOWN_DAG_ID,12,6,n2d-highcpu-32,n2d-highcpu-32,9.08,1.8637,ZERO_TIMER,00:00
stg-to-ods-telephonic-banking-2304,UNKNOWN_DAG_ID,20,6,e2-highcpu-32,e2-highcpu-32,22.54,3.5339,ZERO_TIMER,00:00
cluster-wf-anonimizacion-load-main,wf_Anonimizacion_LOAD,10,5,n2d-highcpu-32,n2d-highcpu-32,10.32,1.8171,ZERO_TIMER,00:00
cluster-wf-dmr-load-03d556e9-2315,wf_DMR_LOAD_T_09_00__T_23_15,11,5,n2-highcpu-32,n2-highcpu-32,9.49,1.8221,T_23_15_TIMELINES,00:15
cluster-wf-dmr-load-t-00-20-0020,wf_DMR_LOAD_T_00_20,16,5,e2-highcpu-32,e2-highcpu-32,13.07,1.7570,T_00_20_CG,01:20
cluster-wf-dmr-load-t-03-10-0310,wf_DMR_LOAD_T_03_10,9,5,n2-highcpu-32,n2-highcpu-32,7.20,1.3823,T_03_10_SE,04:10
cluster-wf-dmr-load-t-03-25-0325,wf_DMR_LOAD_T_03_25,11,5,n2-highcpu-32,n2-highcpu-32,9.16,1.7596,T_03_25_GR,04:25
cluster-wf-dmr-load-t-07-00-0700,wf_DMR_LOAD_T_07_00,40,5,n2d-highcpu-224,n2d-highcpu-224,113.06,139.2930,T_07_00_RISK_ALARMS,08:00
cluster-wf-dmr-load-t-22-00-2200,wf_DMR_LOAD_T_22_00,6,5,n2-highcpu-32,n2-highcpu-32,6.26,1.2022,T_22_00_TRC,23:00
cluster-wf-dwh-load-85f9116a-0430,wf_DWH_LOAD_NMIS_T_04_30,11,5,e2-highcpu-32,e2-highcpu-32,13.48,1.8124,T_4_30,05:30
cluster-wf-dwh-load-t-02-15-0215,wf_DWH_LOAD_T_02_15,29,5,e2-highcpu-32,e2-highcpu-32,36.71,4.9341,T_02_15_Perfilados_MIFID,03:15
cluster-wf-dwh-load-t-21-04-2104,wf_DWH_LOAD_T_21_04,17,5,n2-highcpu-32,n2-highcpu-32,22.78,4.3742,T_21_04_CESOP_ALL_DL,22:04
cluster-wf-load-info-25f3c2ad-0000,wf_LOAD_Infocentro_T_00_00,30,5,n2d-highcpu-224,n2d-highcpu-224,64.28,79.1871,T_00_00_Host_Alerts,01:00
cluster-wf-load-info-6c8abf4b-0130,wf_LOAD_Infocentro_T_01_30,11,5,n2d-highcpu-32,n2d-highcpu-32,10.60,1.8648,T_01_30_TG,02:30
comparator-mis-590-2-a,UNKNOWN_DAG_ID,5,5,n2-highcpu-32,n2-highcpu-32,4.79,0.9204,ZERO_TIMER,00:00
comparator-mis-590-2-m,UNKNOWN_DAG_ID,18,5,e2-highcpu-32,e2-highcpu-32,18.66,2.5080,ZERO_TIMER,00:00
stg-to-ods-general-ledger-5900-2-b,UNKNOWN_DAG_ID,4,5,e2-highcpu-32,e2-highcpu-32,8.34,1.1205,ZERO_TIMER,00:00
stg-to-ods-mis-590-2-c,UNKNOWN_DAG_ID,2,5,n2d-highcpu-32,n2d-highcpu-32,9.93,1.7483,ZERO_TIMER,00:00
stg-to-ods-mis-590-2-j,UNKNOWN_DAG_ID,4,5,e2-highcpu-32,e2-highcpu-32,32.01,4.3021,ZERO_TIMER,00:00
stg-to-ods-payments-544-2-b,UNKNOWN_DAG_ID,6,5,n2-highcpu-32,n2-highcpu-32,7.11,1.3658,ZERO_TIMER,00:00
