cluster_name,worker_machine_type,worker_family,num_workers,max_workers_from_policy,total_cores,max_total_cores,strategy,bias_mode,topology_preset,diagnostic_signals
comparator-tesoreria-22115-1-b,n2-highcpu-48,n2,3,4,144,192,default,cost_performance_balance,8cx1GBpc,""
stg-to-ods-partner-data-4433-1-e,e2-highcpu-32,e2,4,4,128,128,default,cost_performance_balance,8cx1GBpc,""
comparator-partner-data-4433-1-d,e2-highcpu-32,e2,4,4,128,128,default,cost_performance_balance,8cx1GBpc,""
comparator-payments-544-2-b,n2-highcpu-48,n2,3,4,144,192,default,cost_performance_balance,8cx1GBpc,""
comparator-mis-590-2-e,n2d-highcpu-48,n2d,3,4,144,192,default,cost_performance_balance,8cx1GBpc,""
comparator-mis-590-2-n,e2-highcpu-32,e2,4,4,128,128,default,cost_performance_balance,8cx1GBpc,""
stg-to-ods-integrated-mailing-664a,n2-highcpu-48,n2,3,4,144,192,default,cost_performance_balance,8cx1GBpc,""
comparator-guarantees-confirmingd,e2-highcpu-32,e2,4,4,128,128,default,cost_performance_balance,8cx1GBpc,""
comparator-general-ledger-5900-2-a,n2-highcpu-48,n2,3,4,144,192,default,cost_performance_balance,8cx1GBpc,""
comparator-insolvencies-system-63a,n2d-highcpu-48,n2d,3,4,144,192,default,cost_performance_balance,8cx1GBpc,""
comparator-partner-data-4433-1-e,e2-highcpu-32,e2,4,4,128,128,default,cost_performance_balance,8cx1GBpc,""
stg-to-ods-sfd-digital-signature2,n2-highcpu-48,n2,3,4,144,192,default,cost_performance_balance,8cx1GBpc,""
comparator-reporting-ho-es-230947,e2-highcpu-32,e2,4,4,128,128,default,cost_performance_balance,8cx1GBpc,""
comparator-cirbe-22112-1-d,n2d-highcpu-48,n2d,3,4,144,192,default,cost_performance_balance,8cx1GBpc,""
stg-to-ods-general-tables-5898-1-c,n2-highcpu-48,n2,3,4,144,192,default,cost_performance_balance,8cx1GBpc,""
comparator-contrack-35644-1,e2-highcpu-32,e2,4,4,128,128,default,cost_performance_balance,8cx1GBpc,""
comparator-collection-administ-unf,n2-highcpu-48,n2,3,4,144,192,default,cost_performance_balance,8cx1GBpc,""
stg-to-ods-insolvencies-system-63d,e2-highcpu-32,e2,4,4,128,128,default,cost_performance_balance,8cx1GBpc,""
comparator-partner-data-4433-1-g,n2d-highcpu-48,n2d,3,4,144,192,default,cost_performance_balance,8cx1GBpc,""
comparator-adp-global-view-36267-1,n2-highcpu-48,n2,3,4,144,192,default,cost_performance_balance,8cx1GBpc,""
stg-to-ods-telephonic-banking-2309,e2-highcpu-32,e2,4,4,128,128,default,cost_performance_balance,8cx1GBpc,""
stg-to-ods-db-mailroutinghub-es-18,n2-highcpu-48,n2,3,4,144,192,default,cost_performance_balance,8cx1GBpc,""
comparator-loans-and-leasing-527a,e2-highcpu-32,e2,4,4,128,128,default,cost_performance_balance,8cx1GBpc,""
comparator-db-record-keeping-es-12,n2d-highcpu-48,n2d,3,4,144,192,default,cost_performance_balance,8cx1GBpc,""
stg-to-ods-tesoreria-22115-1-a,e2-highcpu-32,e2,4,4,128,128,default,cost_performance_balance,8cx1GBpc,""
comparator-general-tables-5898-1-a,n2-highcpu-48,n2,3,4,144,192,default,cost_performance_balance,8cx1GBpc,""
stg-to-ods-host-architecture-22096,n2d-highcpu-48,n2d,3,4,144,192,default,cost_performance_balance,8cx1GBpc,""
stg-to-ods-current-accounts-385-2f,n2-highcpu-48,n2,3,4,144,192,default,cost_performance_balance,8cx1GBpc,""
comparator-mis-590-2-c,e2-highcpu-32,e2,4,4,128,128,default,cost_performance_balance,8cx1GBpc,""
stg-to-ods-mis-590-2-l,n2-highcpu-48,n2,3,4,144,192,default,cost_performance_balance,8cx1GBpc,""
cluster-wf-dmr-load-t-22-05-2205,n2d-highcpu-48,n2d,3,4,144,192,default,cost_performance_balance,8cx1GBpc,""
cluster-wf-dmr-load-t-02-45-0245,e2-highcpu-32,e2,4,4,128,128,default,cost_performance_balance,8cx1GBpc,""
comparator-mis-590-2-o,n2-highcpu-48,n2,2,4,96,192,default,cost_performance_balance,8cx1GBpc,""
comparator-payments-544-2-f,n2-highcpu-48,n2,2,4,96,192,default,cost_performance_balance,8cx1GBpc,""
comparator-db-sas-46485-3-e,n2-highcpu-48,n2,2,4,96,192,default,cost_performance_balance,8cx1GBpc,""
comparator-bpm-74674-1,n2d-highcpu-48,n2d,2,4,96,192,default,cost_performance_balance,8cx1GBpc,""
comparator-general-tables-5898-1-c,n2-highcpu-48,n2,2,4,96,192,default,cost_performance_balance,8cx1GBpc,""
comparator-fx-options-kaleidoscop3,n2-highcpu-48,n2,2,4,96,192,default,cost_performance_balance,8cx1GBpc,""
comparator-db-sas-46485-3-d,n2d-highcpu-48,n2d,2,4,96,192,default,cost_performance_balance,8cx1GBpc,""
comparator-sfe-activa-cliente-255b,n2-highcpu-48,n2,2,4,96,192,default,cost_performance_balance,8cx1GBpc,""
comparator-partner-data-4433-1-m,n2d-highcpu-48,n2d,2,4,96,192,default,cost_performance_balance,8cx1GBpc,""
comparator-host-architecture-22096,n2-highcpu-48,n2,2,4,96,192,default,cost_performance_balance,8cx1GBpc,""
comparator-guarantees-confirming6,n2-highcpu-48,n2,2,4,96,192,default,cost_performance_balance,8cx1GBpc,""
comparator-questionnaire-tool-1124,n2d-highcpu-48,n2d,2,4,96,192,default,cost_performance_balance,8cx1GBpc,""
comparator-customer-engagement-169,n2-highcpu-48,n2,2,4,96,192,default,cost_performance_balance,8cx1GBpc,""
stg-to-ods-partner-data-4433-1-m,n2-highcpu-48,n2,2,4,96,192,default,cost_performance_balance,8cx1GBpc,""
comparator-mis-590-2-g,n2d-highcpu-48,n2d,2,4,96,192,default,cost_performance_balance,8cx1GBpc,""
comparator-payments-544-2-a,n2-highcpu-48,n2,2,4,96,192,default,cost_performance_balance,8cx1GBpc,""
cluster-wf-load-info-96fe38cb-0200,n2d-highcpu-48,n2d,2,4,96,192,default,cost_performance_balance,8cx1GBpc,""
stg-to-ods-adp-global-view-36267-1,e2-highcpu-32,e2,3,4,96,128,default,cost_performance_balance,8cx1GBpc,""
comparator-sg-insurances-and-pens7,e2-highcpu-32,e2,3,4,96,128,default,cost_performance_balance,8cx1GBpc,""
