cluster_name,dag_id,no_of_jobs,num_of_workers,worker_machine_type,master_machine_type,total_active_minutes,estimated_cost_eur,TIMER_NAME,TIMER_TIME
comparator-guarantees-confirmingd,UNKNOWN_DAG_ID,14,5,e2-standard-32,e2-standard-32,19.79,3.1912,ZERO_TIMER,00:00
comparator-risk-data-base-es-29944,UNKNOWN_DAG_ID,14,11,e2-standard-32,e2-standard-32,55.72,17.9717,ZERO_TIMER,00:00
stg-to-ods-guarantees-confirming6,UNKNOWN_DAG_ID,14,9,e2-standard-32,e2-standard-32,22.84,6.1395,ZERO_TIMER,00:00
cluster-wf-load-info-dc8f22d4-main,wf_LOAD_Infocentro_Intradia,13,10,n2-standard-32,n2-standard-32,22.83,9.7784,ZERO_TIMER,00:00
comparator-contrack-35644-1,UNKNOWN_DAG_ID,13,3,n2-standard-48,n2-standard-48,13.26,3.0987,ZERO_TIMER,00:00
comparator-db-sas-46485-3-e,UNKNOWN_DAG_ID,13,4,n2-standard-32,n2-standard-32,11.95,2.3256,ZERO_TIMER,00:00
comparator-exposure-risk-29832-1-b,UNKNOWN_DAG_ID,13,9,e2-standard-32,e2-standard-32,57.73,15.5173,ZERO_TIMER,00:00
comparator-guarantees-confirming7,UNKNOWN_DAG_ID,13,7,n2d-standard-32,n2d-standard-32,29.00,8.2892,ZERO_TIMER,00:00
comparator-host-architecture-22096,UNKNOWN_DAG_ID,13,4,n2-standard-32,n2-standard-32,10.50,2.0447,ZERO_TIMER,00:00
stg-to-ods-contrack-35644-1,UNKNOWN_DAG_ID,13,7,n2-standard-32,n2-standard-32,16.31,5.0792,ZERO_TIMER,00:00
stg-to-ods-db-sas-46485-3-e,UNKNOWN_DAG_ID,13,3,e2-highcpu-32,e2-highcpu-32,9.16,0.8204,ZERO_TIMER,00:00
stg-to-ods-exposure-risk-29832-1-b,UNKNOWN_DAG_ID,13,11,n2-standard-32,n2-standard-32,46.13,21.5498,ZERO_TIMER,00:00
stg-to-ods-guarantees-confirming9,UNKNOWN_DAG_ID,13,9,e2-standard-32,e2-standard-32,24.52,6.5904,ZERO_TIMER,00:00
stg-to-ods-host-architecture-22096,UNKNOWN_DAG_ID,13,5,e2-standard-32,e2-standard-32,16.10,2.5973,ZERO_TIMER,00:00
stg-to-ods-risk-data-base-es-2994a,UNKNOWN_DAG_ID,13,8,e2-standard-32,e2-standard-32,22.89,5.5382,ZERO_TIMER,00:00
cluster-wf-dwh-load-t-05-25-0525,wf_DWH_LOAD_T_05_25,12,7,n2d-standard-32,n2d-standard-32,14.13,4.0391,T_05_25_FlexiPago,06:25
comparator-card-processing-644-1-c,UNKNOWN_DAG_ID,12,7,e2-standard-32,e2-standard-32,16.22,3.4884,ZERO_TIMER,00:00
comparator-db-mailroutinghub-es-1d,UNKNOWN_DAG_ID,12,7,e2-standard-32,e2-standard-32,13.92,2.9940,ZERO_TIMER,00:00
comparator-fixed-term-deposits-390,UNKNOWN_DAG_ID,12,8,e2-standard-32,e2-standard-32,28.87,6.9839,ZERO_TIMER,00:00
comparator-fx-options-kaleidoscop3,UNKNOWN_DAG_ID,12,4,e2-standard-32,e2-standard-32,9.78,1.3140,ZERO_TIMER,00:00
comparator-questionnaire-tool-1124,UNKNOWN_DAG_ID,12,4,e2-standard-32,e2-standard-32,10.85,1.4586,ZERO_TIMER,00:00
stg-to-ods-card-processing-644-1-c,UNKNOWN_DAG_ID,12,10,n2-standard-32,n2-standard-32,41.95,17.9675,ZERO_TIMER,00:00
