cluster_name,dag_id,no_of_jobs,num_of_workers,worker_machine_type,master_machine_type,total_active_minutes,estimated_cost_eur,TIMER_NAME,TIMER_TIME
stg-to-ods-mis-590-2-e,UNKNOWN_DAG_ID,28,9,e2-standard-32,e2-standard-32,49.81,13.3885,ZERO_TIMER,00:00
stg-to-ods-mis-590-2-f,UNKNOWN_DAG_ID,6,9,n2d-standard-32,n2d-standard-32,19.23,6.8716,ZERO_TIMER,00:00
stg-to-ods-odigo-contact-center-76,UNKNOWN_DAG_ID,18,9,e2-standard-32,e2-standard-32,31.44,8.4506,ZERO_TIMER,00:00
stg-to-ods-partner-data-4433-1-d,UNKNOWN_DAG_ID,3,9,n2-standard-32,n2-standard-32,9.37,3.6485,ZERO_TIMER,00:00
stg-to-ods-payments-544-2-d,UNKNOWN_DAG_ID,4,9,e2-standard-32,e2-standard-32,14.33,3.8525,ZERO_TIMER,00:00
stg-to-ods-payments-544-2-e,UNKNOWN_DAG_ID,9,9,e2-standard-32,e2-standard-32,27.88,7.4948,ZERO_TIMER,00:00
stg-to-ods-sfe-activa-cliente-2556,UNKNOWN_DAG_ID,75,9,n2-standard-32,n2-standard-32,121.21,47.1927,ZERO_TIMER,00:00
stg-to-ods-sg-insurances-and-pens4,UNKNOWN_DAG_ID,2,9,n2-standard-32,n2-standard-32,37.24,14.4994,ZERO_TIMER,00:00
stg-to-ods-terms-and-fees-21701-13,UNKNOWN_DAG_ID,7,9,e2-standard-32,e2-standard-32,15.24,4.0974,ZERO_TIMER,00:00
stg-to-ods-tesoreria-22115-1-b,UNKNOWN_DAG_ID,9,9,n2-standard-32,n2-standard-32,11.25,4.3789,ZERO_TIMER,00:00
stg-to-ods-tf-imex-459-1-a,UNKNOWN_DAG_ID,15,9,n2-standard-32,n2-standard-32,25.11,9.7769,ZERO_TIMER,00:00
stg-to-ods-wealth-manager-49067-1,UNKNOWN_DAG_ID,8,9,n2-standard-32,n2-standard-32,17.57,6.8424,ZERO_TIMER,00:00
