cluster_name,worker_machine_type,worker_family,num_workers,max_workers_from_policy,total_cores,max_total_cores,strategy,bias_mode,topology_preset,diagnostic_signals
cluster-wf_spark_334,e2-standard-32,e2,7,8,224,256,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_119,n2-standard-32,n2,7,8,224,256,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_344,n2-highcpu-32,n2,3,4,96,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_163,e2-standard-32,e2,7,8,224,256,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_120,n2-standard-32,n2,3,4,96,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_47,n2-standard-32,n2,3,4,96,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_304,e2-standard-32,e2,9,10,288,320,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_108,n2-standard-32,n2,76,76,2432,2432,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_176,e2-standard-32,e2,7,8,224,256,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_36,e2-highcpu-32,e2,3,4,96,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_243,e2-standard-32,e2,7,8,224,256,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_258,e2-standard-32,e2,13,13,416,416,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_202,e2-standard-32,e2,5,6,160,192,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_95,e2-standard-32,e2,37,37,1184,1184,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_269,n2-highcpu-32,n2,3,4,96,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_361,e2-standard-32,e2,13,13,416,416,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_311,n2-highcpu-8,n2,3,4,24,32,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_282,n2-standard-32,n2,9,10,288,320,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_232,n2-standard-32,n2,10,10,320,320,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_73,e2-standard-32,e2,79,79,2528,2528,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_15,n2d-standard-32,n2d,79,79,2528,2528,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_20,n2-standard-32,n2,17,17,544,544,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_80,n2-standard-32,n2,6,6,192,192,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_322,n2-standard-32,n2,11,11,352,352,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_275,n2-standard-32,n2,11,11,352,352,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_253,n2-standard-32,n2,7,8,224,256,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_333,n2-standard-32,n2,11,11,352,352,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_214,n2-standard-32,n2,4,4,128,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_172,n2-highcpu-32,n2,2,4,64,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_343,n2-standard-32,n2,7,8,224,256,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_264,e2-highcpu-32,e2,3,4,96,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_180,e2-standard-32,e2,7,8,224,256,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_186,n2-standard-32,n2,9,10,288,320,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_62,e2-standard-32,e2,6,6,192,192,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_224,n2-highcpu-32,n2,3,4,96,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_40,n2-highcpu-8,n2,3,4,24,32,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_246,e2-standard-32,e2,10,10,320,320,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_5,n2-highcpu-8,n2,3,4,24,32,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_191,n2-standard-32,n2,7,8,224,256,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_106,n2-standard-32,n2,34,34,1088,1088,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_24,e2-standard-32,e2,19,19,608,608,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_358,e2-highcpu-8,e2,3,4,24,32,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_301,e2-standard-32,e2,13,13,416,416,performance_biased,performance_biased,8cx2GBpc,""
