cluster_name,dag_id,no_of_jobs,num_of_workers,worker_machine_type,master_machine_type,total_active_minutes,estimated_cost_eur,TIMER_NAME,TIMER_TIME
cluster-wf_spark_136,UNKNOWN_DAG_ID,3,5,e2-standard-32,e2-standard-32,3.15,0.5085,ZERO_TIMER,00:00
cluster-wf_spark_303,UNKNOWN_DAG_ID,5,3,n2-highcpu-32,n2-highcpu-32,3.14,0.4015,ZERO_TIMER,00:00
cluster-wf_spark_4,UNKNOWN_DAG_ID,4,2,e2-highcpu-32,e2-highcpu-32,3.10,0.2083,ZERO_TIMER,00:00
cluster-wf_spark_183,UNKNOWN_DAG_ID,1,2,n2-highcpu-32,n2-highcpu-32,2.95,0.2835,ZERO_TIMER,00:00
cluster-wf_spark_122,UNKNOWN_DAG_ID,2,3,n2d-standard-32,n2d-standard-32,2.90,0.4147,ZERO_TIMER,00:00
cluster-wf_spark_46,UNKNOWN_DAG_ID,4,3,n2-standard-32,n2-standard-32,2.82,0.4399,ZERO_TIMER,00:00
cluster-wf_spark_365,UNKNOWN_DAG_ID,2,5,n2-standard-32,n2-standard-32,2.81,0.6559,ZERO_TIMER,00:00
cluster-wf_spark_350,UNKNOWN_DAG_ID,2,3,n2-standard-32,n2-standard-32,2.80,0.4359,ZERO_TIMER,00:00
cluster-wf_spark_8,UNKNOWN_DAG_ID,2,2,n2-highcpu-32,n2-highcpu-32,2.79,0.2679,ZERO_TIMER,00:00
cluster-wf_spark_347,UNKNOWN_DAG_ID,1,2,n2-highcpu-32,n2-highcpu-32,2.76,0.2652,ZERO_TIMER,00:00
cluster-wf_spark_130,UNKNOWN_DAG_ID,1,2,n2-highcpu-32,n2-highcpu-32,2.75,0.2643,ZERO_TIMER,00:00
cluster-wf_spark_313,UNKNOWN_DAG_ID,4,2,n2-highcpu-32,n2-highcpu-32,2.69,0.2582,ZERO_TIMER,00:00
cluster-wf_spark_202,UNKNOWN_DAG_ID,2,5,e2-standard-32,e2-standard-32,2.63,0.4244,ZERO_TIMER,00:00
cluster-wf_spark_297,UNKNOWN_DAG_ID,2,3,e2-standard-32,e2-standard-32,2.53,0.2721,ZERO_TIMER,00:00
cluster-wf_spark_90,UNKNOWN_DAG_ID,3,2,n2-highcpu-32,n2-highcpu-32,2.46,0.2363,ZERO_TIMER,00:00
cluster-wf_spark_221,UNKNOWN_DAG_ID,2,3,e2-standard-32,e2-standard-32,2.43,0.2609,ZERO_TIMER,00:00
cluster-wf_spark_111,UNKNOWN_DAG_ID,2,2,e2-highcpu-32,e2-highcpu-32,2.42,0.1623,ZERO_TIMER,00:00
cluster-wf_spark_139,UNKNOWN_DAG_ID,2,3,n2-highcpu-32,n2-highcpu-32,2.42,0.3091,ZERO_TIMER,00:00
cluster-wf_spark_78,UNKNOWN_DAG_ID,3,3,e2-highcpu-8,e2-highcpu-8,2.39,0.0535,ZERO_TIMER,00:00
cluster-wf_spark_92,UNKNOWN_DAG_ID,3,2,n2-highcpu-8,n2-highcpu-8,2.25,0.0540,ZERO_TIMER,00:00
cluster-wf_spark_40,UNKNOWN_DAG_ID,3,3,n2-highcpu-8,n2-highcpu-8,2.17,0.0696,ZERO_TIMER,00:00
cluster-wf_spark_330,UNKNOWN_DAG_ID,2,2,e2-highcpu-32,e2-highcpu-32,2.10,0.1409,ZERO_TIMER,00:00
cluster-wf_spark_235,UNKNOWN_DAG_ID,2,3,n2-highcpu-32,n2-highcpu-32,2.03,0.2595,ZERO_TIMER,00:00
cluster-wf_spark_249,UNKNOWN_DAG_ID,2,2,n2d-highcpu-32,n2d-highcpu-32,2.02,0.1781,ZERO_TIMER,00:00
cluster-wf_spark_201,UNKNOWN_DAG_ID,2,3,n2-highcpu-32,n2-highcpu-32,2.01,0.2577,ZERO_TIMER,00:00
cluster-wf_spark_257,UNKNOWN_DAG_ID,1,3,n2d-highcpu-32,n2d-highcpu-32,2.00,0.2349,ZERO_TIMER,00:00
cluster-wf_spark_329,UNKNOWN_DAG_ID,2,2,n2-highcpu-32,n2-highcpu-32,1.93,0.1851,ZERO_TIMER,00:00
cluster-wf_spark_231,UNKNOWN_DAG_ID,2,3,n2-standard-32,n2-standard-32,1.87,0.2913,ZERO_TIMER,00:00
cluster-wf_spark_153,UNKNOWN_DAG_ID,2,3,n2-highcpu-32,n2-highcpu-32,1.87,0.2392,ZERO_TIMER,00:00
cluster-wf_spark_5,UNKNOWN_DAG_ID,2,3,n2-highcpu-8,n2-highcpu-8,1.77,0.0566,ZERO_TIMER,00:00
cluster-wf_spark_300,UNKNOWN_DAG_ID,1,2,n2-highcpu-32,n2-highcpu-32,1.74,0.1675,ZERO_TIMER,00:00
cluster-wf_spark_224,UNKNOWN_DAG_ID,2,3,n2-highcpu-32,n2-highcpu-32,1.70,0.2173,ZERO_TIMER,00:00
cluster-wf_spark_172,UNKNOWN_DAG_ID,1,2,n2-highcpu-32,n2-highcpu-32,1.59,0.1527,ZERO_TIMER,00:00
cluster-wf_spark_346,UNKNOWN_DAG_ID,1,2,e2-highcpu-32,e2-highcpu-32,1.56,0.1047,ZERO_TIMER,00:00
cluster-wf_spark_360,UNKNOWN_DAG_ID,2,2,n2-highcpu-32,n2-highcpu-32,1.52,0.1456,ZERO_TIMER,00:00
cluster-wf_spark_263,UNKNOWN_DAG_ID,1,2,c4-standard-24,c4-standard-24,1.49,0.1552,ZERO_TIMER,00:00
cluster-wf_spark_294,UNKNOWN_DAG_ID,1,3,n2d-highcpu-32,n2d-highcpu-32,1.48,0.1739,ZERO_TIMER,00:00
cluster-wf_spark_59,UNKNOWN_DAG_ID,2,3,e2-highcpu-8,e2-highcpu-8,1.47,0.0328,ZERO_TIMER,00:00
cluster-wf_spark_354,UNKNOWN_DAG_ID,2,2,n2-highcpu-32,n2-highcpu-32,1.37,0.1313,ZERO_TIMER,00:00
cluster-wf_spark_270,UNKNOWN_DAG_ID,2,2,e2-highcpu-32,e2-highcpu-32,1.32,0.0886,ZERO_TIMER,00:00
cluster-wf_spark_286,UNKNOWN_DAG_ID,1,2,n2-standard-32,n2-standard-32,1.31,0.1529,ZERO_TIMER,00:00
cluster-wf_spark_142,UNKNOWN_DAG_ID,2,3,n2-highcpu-8,n2-highcpu-8,1.30,0.0417,ZERO_TIMER,00:00
cluster-wf_spark_293,UNKNOWN_DAG_ID,1,2,n2-standard-32,n2-standard-32,1.27,0.1488,ZERO_TIMER,00:00
cluster-wf_spark_281,UNKNOWN_DAG_ID,2,2,n2-highcpu-32,n2-highcpu-32,1.27,0.1223,ZERO_TIMER,00:00
cluster-wf_spark_285,UNKNOWN_DAG_ID,2,2,n2d-highcpu-32,n2d-highcpu-32,1.26,0.1107,ZERO_TIMER,00:00
cluster-wf_spark_135,UNKNOWN_DAG_ID,1,2,n2-highcpu-32,n2-highcpu-32,1.25,0.1198,ZERO_TIMER,00:00
cluster-wf_spark_165,UNKNOWN_DAG_ID,1,5,c3-highcpu-8,c3-highcpu-8,1.21,0.0680,ZERO_TIMER,00:00
cluster-wf_spark_158,UNKNOWN_DAG_ID,1,3,n2-highcpu-32,n2-highcpu-32,1.18,0.1512,ZERO_TIMER,00:00
cluster-wf_spark_311,UNKNOWN_DAG_ID,1,3,n2-highcpu-8,n2-highcpu-8,1.06,0.0340,ZERO_TIMER,00:00
cluster-wf_spark_230,UNKNOWN_DAG_ID,1,2,n2d-highcpu-32,n2d-highcpu-32,1.04,0.0918,ZERO_TIMER,00:00
cluster-wf_spark_203,UNKNOWN_DAG_ID,1,2,e2-highcpu-32,e2-highcpu-32,1.03,0.0692,ZERO_TIMER,00:00
cluster-wf_spark_190,UNKNOWN_DAG_ID,1,2,n2-highcpu-32,n2-highcpu-32,1.00,0.0964,ZERO_TIMER,00:00
cluster-wf_spark_42,UNKNOWN_DAG_ID,1,2,e2-highcpu-8,e2-highcpu-8,0.99,0.0166,ZERO_TIMER,00:00
cluster-wf_spark_318,UNKNOWN_DAG_ID,1,3,n2-highcpu-8,n2-highcpu-8,0.98,0.0314,ZERO_TIMER,00:00
cluster-wf_spark_331,UNKNOWN_DAG_ID,1,3,n2-highcpu-8,n2-highcpu-8,0.98,0.0313,ZERO_TIMER,00:00
cluster-wf_spark_167,UNKNOWN_DAG_ID,1,2,e2-highcpu-32,e2-highcpu-32,0.94,0.0631,ZERO_TIMER,00:00
cluster-wf_spark_345,UNKNOWN_DAG_ID,1,3,n2d-highcpu-8,n2d-highcpu-8,0.93,0.0273,ZERO_TIMER,00:00
cluster-wf_spark_265,UNKNOWN_DAG_ID,1,3,n2-highcpu-8,n2-highcpu-8,0.92,0.0296,ZERO_TIMER,00:00
cluster-wf_spark_247,UNKNOWN_DAG_ID,1,3,n2-highcpu-8,n2-highcpu-8,0.91,0.0293,ZERO_TIMER,00:00
cluster-wf_spark_332,UNKNOWN_DAG_ID,1,3,n2d-highcpu-8,n2d-highcpu-8,0.90,0.0265,ZERO_TIMER,00:00
cluster-wf_spark_204,UNKNOWN_DAG_ID,1,2,n2-highcpu-32,n2-highcpu-32,0.90,0.0868,ZERO_TIMER,00:00
cluster-wf_spark_217,UNKNOWN_DAG_ID,1,2,n2d-highcpu-32,n2d-highcpu-32,0.89,0.0785,ZERO_TIMER,00:00
cluster-wf_spark_137,UNKNOWN_DAG_ID,1,2,n2d-highcpu-32,n2d-highcpu-32,0.88,0.0774,ZERO_TIMER,00:00
cluster-wf_spark_216,UNKNOWN_DAG_ID,1,2,n2-highcpu-32,n2-highcpu-32,0.85,0.0813,ZERO_TIMER,00:00
cluster-wf_spark_358,UNKNOWN_DAG_ID,1,3,e2-highcpu-8,e2-highcpu-8,0.79,0.0176,ZERO_TIMER,00:00
cluster-wf_spark_11,UNKNOWN_DAG_ID,1,2,n2-highcpu-8,n2-highcpu-8,0.70,0.0169,ZERO_TIMER,00:00
cluster-wf_spark_89,UNKNOWN_DAG_ID,1,3,e2-highcpu-8,e2-highcpu-8,0.59,0.0133,ZERO_TIMER,00:00
cluster-wf_spark_143,UNKNOWN_DAG_ID,1,2,n2d-highcpu-8,n2d-highcpu-8,0.59,0.0129,ZERO_TIMER,00:00
cluster-wf_spark_271,UNKNOWN_DAG_ID,1,2,n2-highcpu-8,n2-highcpu-8,0.57,0.0137,ZERO_TIMER,00:00
