DAG_ID,CLUSTER_NAME
wf_Carga_Infocentro_DM_ODIGO_CLIENTES,cluster-wf-carga-inf-b681b46e-main
wf_LOAD_Infocentro_T_08_30,cluster-wf-load-info-e36b4a33-0830
wf_LOAD_Infocentro_T_07_40,cluster-wf-load-info-79279de3-0740
wf_Carga_HO_Intraday,cluster-wf-carga-ho-intraday-main
wf_DMR_LOAD_T_03_10,cluster-wf-dmr-load-t-03-10-0310
wf_DWH_LOAD_T_06_00,cluster-wf-dwh-load-t-06-00-0600
wf_LOAD_Infocentro_T_02_00,cluster-wf-load-info-96fe38cb-0200
wf_DMR_LOAD_T_08_00,cluster-wf-dmr-load-t-08-00-0800
wf_LOAD_Infocentro_T_06_30,cluster-wf-load-info-2c1ad100-0630
wf_DWH_LOAD_T_22_33,cluster-wf-dwh-load-t-22-33-2233
wf_DMR_LOAD_T_02_15,cluster-wf-dmr-load-t-02-15-0215
wf_DWH_LOAD_T_03_30,cluster-wf-dwh-load-t-03-30-0330
wf_DWH_LOAD_T_06_30,cluster-wf-dwh-load-t-06-30-0630
wf_CRO_D_LOAD,cluster-wf-cro-d-load-main
wf_DWH_LOAD_T_21_09__T_23_30,cluster-wf-dwh-load-93e5fa9b-2330
wf_DWH_LOAD_T_03_00,cluster-wf-dwh-load-t-03-00-0300
wf_DWH_LOAD_T_01_15,cluster-wf-dwh-load-t-01-15-0115
wf_DMR_LOAD_T_22_05,cluster-wf-dmr-load-t-22-05-2205
wf_LOAD_ACT_T_00_01,cluster-wf-load-act-t-00-01-0001
wf_DWH_LOAD_NMIS_T_11_00__T_05_45__T_05_30,cluster-wf-dwh-load-5461adf5-0545
wf_DWH_LOAD_NMIS_T_11_00__T_05_45__T_05_30,cluster-wf-dwh-load-5461adf5-1100
wf_DMR_LOAD_T_01_30__T_03_15__T_04_25,cluster-wf-dmr-load-425ff947-0130
wf_DMR_LOAD_T_01_30__T_03_15__T_04_25,cluster-wf-dmr-load-425ff947-0315
wf_DMR_LOAD_T_01_30__T_03_15__T_04_25,cluster-wf-dmr-load-425ff947-0425
wf_DMR_LOAD_T_00_45,cluster-wf-dmr-load-t-00-45-0045
wf_LOAD_Infocentro_T_06_15,cluster-wf-load-info-f713283d-0615
wf_LOAD_Infocentro_T_03_45,cluster-wf-load-info-7e158412-0345
wf_DMR_LOAD_T_02_10,cluster-wf-dmr-load-t-02-10-0210
wf_DWH_LOAD_T_05_30,cluster-wf-dwh-load-t-05-30-0530
wf_LOAD_ACT_T_10_00,cluster-wf-load-act-t-10-00-1000
wf_DMR_LOAD_T_00_30,cluster-wf-dmr-load-t-00-30-0030
wf_DMR_LOAD_T_23_05,cluster-wf-dmr-load-t-23-05-2305
wf_DMR_LOAD_T_03_00,cluster-wf-dmr-load-t-03-00-0300
wf_DMR_LOAD_T_07_00,cluster-wf-dmr-load-t-07-00-0700
wf_LOAD_Infocentro_T_08_00,cluster-wf-load-info-1e0fd893-0800
wf_Carga_Contratos_Metricas_NMIS,cluster-wf-carga-con-7cc57cf7-main
wf_DWH_LOAD_T_05_15,cluster-wf-dwh-load-t-05-15-0515
wf_DWH_LOAD_T_22_34,cluster-wf-dwh-load-t-22-34-2234
wf_Alertas,cluster-wf-alertas-main
wf_LOAD_Infocentro_T_05_20,cluster-wf-load-info-b44fa215-0520
wf_DMR_LOAD_T_03_30,cluster-wf-dmr-load-t-03-30-0330
wf_Carga_Gatekeeper_GDM,cluster-wf-carga-gat-0f7f3cb8-main
wf_DMR_LOAD_T_21_30,cluster-wf-dmr-load-t-21-30-2130
wf_DWH_LOAD_T_13_00,cluster-wf-dwh-load-t-13-00-1300
wf_Carga_Movimientos_Cuentas_DM_Complete,cluster-wf-carga-mov-58900747-main
wf_DMR_LOAD_T_06_00,cluster-wf-dmr-load-t-06-00-0600
wf_LOAD_Infocentro_T_03_30,cluster-wf-load-info-6b956e1c-0330
wf_DMR_LOAD_T_03_45,cluster-wf-dmr-load-t-03-45-0345
wf_DMR_LOAD_T_06_15,cluster-wf-dmr-load-t-06-15-0615
wf_DMR_LOAD_T_08_20,cluster-wf-dmr-load-t-08-20-0820
wf_DMR_LOAD_T_23_00,cluster-wf-dmr-load-t-23-00-2300
wf_LOAD_ACT_T_04_00,cluster-wf-load-act-t-04-00-0400
